trial durationPreFixation durationFixation direction durationGrating duration speed phaseIni contrast size response correct time_onset time_fixation time_stimulus time_response
1 0.3 0.3 1 0.3 0.2 4.0 0.4 0.42 22.0 right 1 28.6011698246 29.0250267982 29.4370408058 30.5678169727
2 0.3 0.3 -1 0.3 0.2 4.0 0.4 0.42 22.0 left 1 30.6029949188 31.026914835 31.4390678406 32.5478727818
3 0.3 0.3 -1 0.3 0.121392446201 4.0 0.4 0.42 22.0 left 1 32.5814278126 33.0053858757 33.4174878597 34.3498249054
4 0.3 0.3 1 0.3 0.2 4.0 0.8 0.42 90.0 right 1 34.3830749989 34.8070819378 35.2191569805 36.1280119419
5 0.3 0.3 -1 0.3 0.2 4.0 0.6 0.42 22.0 left 1 36.1612348557 36.5851287842 36.9973399639 38.1535909176
6 0.3 0.3 1 0.3 0.0164754897244 4.0 0.0 0.42 22.0 right 1 38.1867759228 38.6107239723 39.02282691 39.9198989868
7 0.3 0.3 -1 0.3 0.04472135955 4.0 0.6 0.42 22.0 left 1 39.9532198906 40.3771607876 40.7893819809 41.6394908428
8 0.3 0.3 -1 0.3 0.04472135955 4.0 0.4 0.42 22.0 left 1 41.6724209785 42.0963988304 42.5084388256 43.381816864
9 0.3 0.3 1 0.3 0.121392446201 4.0 0.2 0.42 22.0 right 1 43.4152698517 43.8391308784 44.2513589859 45.1129407883
10 0.3 0.3 1 0.3 0.01 4.0 0.8 0.42 90.0 left 0 45.1462888718 45.5703778267 45.9827809334 46.9620687962
11 0.3 0.3 -1 0.3 0.2 4.0 0.2 0.42 22.0 left 1 46.9952189922 47.4190819263 47.8313879967 49.022854805
12 0.3 0.3 -1 0.3 0.01 4.0 0.0 0.42 22.0 right 0 49.0560109615 49.4799859524 49.8921790123 50.6950528622
13 0.3 0.3 1 0.3 0.2 4.0 0.0 0.42 22.0 right 1 50.7282447815 51.152066946 51.5643107891 52.4845747948
14 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.2 0.42 22.0 right 0 52.5182409286 52.9421248436 53.3543059826 54.2514369488
15 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.8 0.42 90.0 right 0 54.2845618725 54.70845294 55.1205489635 55.9943029881
16 0.3 0.3 1 0.3 0.2 4.0 0.6 0.42 22.0 right 1 56.0275030136 56.45144701 56.8633849621 58.0785169601
17 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.4 0.42 22.0 left 1 58.1118450165 58.5357198715 58.9478538036 59.9745619297
18 0.3 0.3 1 0.3 0.0164754897244 4.0 0.8 0.42 90.0 left 0 60.0077748299 60.4316539764 60.843793869 62.2707359791
19 0.3 0.3 1 0.3 0.121392446201 4.0 0.2 0.42 90.0 right 1 62.3039808273 62.7279119492 63.1400198936 63.9666228294
20 0.3 0.3 1 0.3 0.0736806299728 4.0 0.8 0.42 22.0 right 1 63.9997389317 64.4238119125 64.8359007835 65.6036689281
21 0.3 0.3 -1 0.3 0.04472135955 4.0 0.8 0.42 90.0 right 0 65.6484799385 66.0724318027 66.4846448898 67.3697369099
22 0.3 0.3 1 0.3 0.2 4.0 0.2 0.42 22.0 right 1 67.4030239582 67.8269507885 68.2391629219 69.2420079708
23 0.3 0.3 1 0.3 0.121392446201 4.0 0.0 0.42 22.0 right 1 69.2754428387 69.6992809772 70.1114478111 70.9730908871
24 0.3 0.3 1 0.3 0.01 4.0 0.8 0.42 22.0 left 0 71.0065410137 71.4304718971 71.8426628113 72.8456099033
25 0.3 0.3 -1 0.3 0.121392446201 4.0 0.8 0.42 90.0 right 0 72.8788979053 73.3029289246 73.7150018215 74.6827578545
26 0.3 0.3 -1 0.3 0.01 4.0 0.8 0.42 90.0 left 1 74.7160048485 75.139882803 75.5520598888 76.6375699043
27 0.3 0.3 1 0.3 0.0736806299728 4.0 0.2 0.42 22.0 left 0 76.6706738472 77.0946798325 77.5067949295 78.4978899956
28 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.0 0.42 22.0 left 1 78.5313179493 78.9553618431 79.3673689365 80.2410809994
29 0.3 0.3 1 0.3 0.0271441761659 4.0 0.2 0.42 90.0 left 0 80.2742848396 80.6982479095 81.1102910042 81.9953219891
30 0.3 0.3 1 0.3 0.0271441761659 4.0 0.8 0.42 90.0 left 0 82.0288360119 82.4528269768 82.8649289608 83.7269108295
31 0.3 0.3 1 0.3 0.0271441761659 4.0 0.4 0.42 90.0 left 0 83.7600178719 84.1838979721 84.596023798 85.4693608284
32 0.3 0.3 1 0.3 0.0164754897244 4.0 0.4 0.42 22.0 left 0 85.5026898384 85.926678896 86.3388559818 87.2598319054
33 0.3 0.3 1 0.3 0.0164754897244 4.0 0.6 0.42 90.0 left 0 87.2926688194 87.7166399956 88.1288738251 88.9550487995
34 0.3 0.3 1 0.3 0.121392446201 4.0 0.8 0.42 90.0 right 1 88.9884929657 89.412416935 89.8245120049 92.0522239208
35 0.3 0.3 1 0.3 0.121392446201 4.0 0.8 0.42 22.0 right 1 92.0855519772 92.5094218254 92.9216628075 93.771406889
36 0.3 0.3 1 0.3 0.04472135955 4.0 0.6 0.42 90.0 right 1 93.8048968315 94.2287929058 94.6409778595 95.9151329994
37 0.3 0.3 -1 0.3 0.04472135955 4.0 0.0 0.42 22.0 left 1 95.9599449635 96.3838369846 96.7959878445 97.6931569576
38 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.4 0.42 90.0 right 0 97.7263128757 98.1502218246 98.5623018742 99.4356818199
39 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.8 0.42 22.0 right 0 99.4691648483 99.8930637836 100.305177927 101.30821085
40 0.3 0.3 -1 0.3 0.04472135955 4.0 0.8 0.42 22.0 left 1 101.341477871 101.765450954 102.177661896 103.051298857
41 0.3 0.3 1 0.3 0.0736806299728 4.0 0.0 0.42 90.0 right 1 103.084479809 103.508423805 103.920529842 104.970542908
42 0.3 0.3 1 0.3 0.01 4.0 0.4 0.42 22.0 left 0 105.003927946 105.427833796 105.839969873 106.760922909
43 0.3 0.3 -1 0.3 0.121392446201 4.0 0.4 0.42 90.0 right 0 106.793913841 107.217737913 107.629850864 108.514736891
44 0.3 0.3 -1 0.3 0.121392446201 4.0 0.2 0.42 90.0 right 0 108.548477888 108.972404003 109.384612799 110.305256844
45 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.2 0.42 22.0 left 1 110.338476896 110.762373924 111.174468994 112.189305782
46 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.0 0.42 90.0 left 1 112.22248292 112.646545887 113.058755875 114.073220968
47 0.3 0.3 -1 0.3 0.121392446201 4.0 0.6 0.42 22.0 left 1 114.106688976 114.530697823 114.942904949 115.98099494
48 0.3 0.3 1 0.3 0.04472135955 4.0 0.2 0.42 22.0 right 1 116.01450491 116.438396931 116.850703955 117.735574007
49 0.3 0.3 -1 0.3 0.2 4.0 0.6 0.42 90.0 right 0 117.768960953 118.192938805 118.605148792 119.549263
50 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.8 0.42 90.0 right 0 119.582623005 120.006470919 120.418718815 121.351066828
51 0.3 0.3 1 0.3 0.04472135955 4.0 0.8 0.42 90.0 left 0 121.384403944 121.808233976 122.220436811 123.234882832
52 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.6 0.42 90.0 right 0 123.268537998 123.692456007 124.1048069 125.107468843
53 0.3 0.3 1 0.3 0.0164754897244 4.0 0.6 0.42 22.0 right 1 125.140928984 125.564808846 125.976975918 128.074826956
54 0.3 0.3 -1 0.3 0.01 4.0 0.2 0.42 22.0 left 1 128.108484983 128.532449961 128.944636822 130.31295681
55 0.3 0.3 1 0.3 0.0736806299728 4.0 0.6 0.42 22.0 right 1 130.345930815 130.769818783 131.182060003 132.785928965
56 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.0 0.42 22.0 right 0 132.818886995 133.2428689 133.654961824 134.669834852
57 0.3 0.3 -1 0.3 0.121392446201 4.0 0.0 0.42 22.0 left 1 134.703094959 135.126887798 135.539114952 136.683771849
58 0.3 0.3 1 0.3 0.0164754897244 4.0 0.2 0.42 22.0 right 1 136.716792822 137.140671015 137.552780867 138.485044956
59 0.3 0.3 1 0.3 0.04472135955 4.0 0.2 0.42 90.0 right 1 138.518423796 138.942427874 139.354493856 140.345835924
60 0.3 0.3 1 0.3 0.04472135955 4.0 0.0 0.42 22.0 right 1 140.390815973 140.814810991 141.226924896 142.053823948
61 0.3 0.3 -1 0.3 0.121392446201 4.0 0.0 0.42 90.0 right 0 142.086462975 142.510521889 142.922623873 144.043972015
62 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.4 0.42 22.0 left 1 144.076599836 144.500628948 144.912770987 146.080873966
63 0.3 0.3 -1 0.3 0.2 4.0 0.0 0.42 22.0 left 1 146.113965988 146.53795886 146.949975967 148.424239874
64 0.3 0.3 -1 0.3 0.2 4.0 0.4 0.42 90.0 right 0 148.457482815 148.881383896 149.293541908 150.696971893
65 0.3 0.3 1 0.3 0.0736806299728 4.0 0.0 0.42 22.0 right 1 150.730256796 151.154168844 151.566248894 152.416152954
66 0.3 0.3 1 0.3 0.121392446201 4.0 0.0 0.42 90.0 right 1 152.449548006 152.8733778 153.285601854 154.147215843
67 0.3 0.3 1 0.3 0.121392446201 4.0 0.4 0.42 90.0 right 1 154.180548906 154.604581833 155.016683817 155.937271833
68 0.3 0.3 -1 0.3 0.01 4.0 0.0 0.42 90.0 right 0 155.982198 156.406291962 156.81834197 157.680241823
