trial durationPreFixation durationFixation direction durationGrating duration speed phaseIni contrast size response correct time_onset time_fixation time_stimulus time_response
1 0.3 0.3 -1 0.3 0.121392446201 4.0 0.0 0.42 22.0 left 1 30.7474009991 31.1711449623 31.583409071 32.5918610096
2 0.3 0.3 1 0.3 0.2 4.0 0.6 0.42 22.0 right 1 32.6198189259 33.0436770916 33.4557499886 34.2477109432
3 0.3 0.3 1 0.3 0.0164754897244 4.0 0.8 0.42 22.0 right 1 34.2801890373 34.7041511536 35.1161520481 36.2961471081
4 0.3 0.3 1 0.3 0.01 4.0 0.8 0.42 22.0 right 1 36.3291130066 36.7531099319 37.1652710438 38.2506041527
5 0.3 0.3 1 0.3 0.0736806299728 4.0 0.6 0.42 22.0 right 1 38.2839300632 38.707777977 39.1200630665 39.9934229851
6 0.3 0.3 -1 0.3 0.01 4.0 0.8 0.42 90.0 left 1 40.0267140865 40.4506659508 40.862967968 42.5843880177
7 0.3 0.3 1 0.3 0.121392446201 4.0 0.8 0.42 22.0 right 1 42.6174800396 43.0414469242 43.4536499977 44.3508970737
8 0.3 0.3 -1 0.3 0.01 4.0 0.2 0.42 90.0 right 0 44.3839030266 44.807860136 45.220044136 46.4468131065
9 0.3 0.3 -1 0.3 0.121392446201 4.0 0.8 0.42 22.0 left 1 46.4800710678 46.90406394 47.3161890507 48.1897740364
10 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.0 0.42 90.0 left 1 48.2228770256 48.6468529701 49.0591800213 49.9678030014
11 0.3 0.3 1 0.3 0.0164754897244 4.0 0.0 0.42 90.0 left 0 50.0010359287 50.4249751568 50.8372089863 51.9461200237
12 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.0 0.42 22.0 left 1 51.9794430733 52.4034330845 52.8155720234 53.7485380173
13 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.8 0.42 22.0 left 1 53.7812969685 54.205258131 54.6173610687 55.4674520493
14 0.3 0.3 1 0.3 0.0736806299728 4.0 0.2 0.42 22.0 right 1 55.5005011559 55.9244370461 56.3365900517 57.1043651104
15 0.3 0.3 -1 0.3 0.01 4.0 0.6 0.42 90.0 left 1 57.1373500824 57.5614089966 57.9734480381 59.0589849949
16 0.3 0.3 -1 0.3 0.121392446201 4.0 0.6 0.42 90.0 left 1 59.0922019482 59.516201973 59.9282720089 60.9552841187
17 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.4 0.42 22.0 left 1 60.9881949425 61.4122951031 61.8244280815 62.721050024
18 0.3 0.3 -1 0.3 0.2 4.0 0.2 0.42 90.0 left 1 62.7546429634 63.1785881519 63.590651989 64.5582690239
19 0.3 0.3 1 0.3 0.0271441761659 4.0 0.6 0.42 90.0 left 0 64.5916590691 65.0156030655 65.4277410507 66.5486090183
20 0.3 0.3 1 0.3 0.0164754897244 4.0 0.6 0.42 22.0 right 1 66.5818040371 67.0057470798 67.4179439545 68.4325139523
21 0.3 0.3 -1 0.3 0.04472135955 4.0 0.2 0.42 22.0 left 1 68.4659321308 68.8899929523 69.3021550179 70.1993560791
22 0.3 0.3 -1 0.3 0.121392446201 4.0 0.0 0.42 90.0 left 1 70.2324280739 70.6563260555 71.0686349869 71.9540500641
23 0.3 0.3 -1 0.3 0.04472135955 4.0 0.6 0.42 22.0 left 1 71.9870231152 72.4109530449 72.823143959 73.6849789619
24 0.3 0.3 -1 0.3 0.04472135955 4.0 0.4 0.42 90.0 left 1 73.7182860374 74.1422410011 74.5541770458 75.4981460571
25 0.3 0.3 1 0.3 0.0164754897244 4.0 0.4 0.42 22.0 right 1 75.5316169262 75.9557759762 76.3677430153 77.3116159439
26 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.6 0.42 22.0 left 1 77.3451199532 77.769037962 78.181196928 79.0784161091
27 0.3 0.3 1 0.3 0.04472135955 4.0 0.2 0.42 22.0 right 1 79.1115870476 79.5355610847 79.9477159977 80.7857580185
28 0.3 0.3 1 0.3 0.2 4.0 0.0 0.42 22.0 right 1 80.819175005 81.2430810928 81.655205965 82.7055640221
29 0.3 0.3 1 0.3 0.121392446201 4.0 0.6 0.42 90.0 right 1 82.738628149 83.1625919342 83.5747220516 84.5305681229
30 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.2 0.42 90.0 right 0 84.5638179779 84.9877860546 85.4000251293 86.391092062
31 0.3 0.3 1 0.3 0.2 4.0 0.4 0.42 22.0 right 1 86.4244859219 86.8484909534 87.2607910633 88.0880160332
