Experiment   Time   Size   InitialPhase   Duration   Contrast   Direction   Frequency   Speed   FixationTime   Answer   Correct   
1   18.5999   4   288   0.01   0.42   1   1   4   0.308333   right   1   
2   2.45   1   216   0.01   0.42   -1   1   4   0.308333   right   0   
3   1.05   4   0   0.07368   0.42   -1   1   4   0.3   right   0   
4   1.01667   1   288   0.01648   0.42   -1   1   4   0.3   right   0   
5   1.03333   1   0   0.2   0.42   -1   1   4   0.3   left   1   
6   0.916666   1   144   0.2   0.42   -1   1   4   0.3   left   1   
7   1.08333   4   0   0.2   0.42   -1   1   4   0.3   right   0   
8   1.08333   4   144   0.07368   0.42   1   1   4   0.3   right   1   
9   1.71667   4   144   0.2   0.42   1   1   4   0.3   right   1   
10   0.983333   1   144   0.027144   0.42   -1   1   4   0.3   right   0   
11   0.983333   4   72   0.01648   0.42   -1   1   4   0.3   right   0   
12   1.21667   4   72   0.04472   0.42   -1   1   4   0.3   right   0   
13   1.0   1   0   0.01   0.42   1   1   4   0.308333   right   1   
14   0.883333   4   144   0.2   0.42   -1   1   4   0.3   left   1   
15   0.85   1   288   0.2   0.42   1   1   4   0.3   right   1   
16   0.966666   1   216   0.01648   0.42   -1   1   4   0.3   right   0   
17   1.06667   1   216   0.01   0.42   1   1   4   0.308333   right   1   
18   1.01667   4   288   0.027144   0.42   1   1   4   0.3   left   0   
19   1.98333   4   144   0.04472   0.42   -1   1   4   0.3   right   0   
20   0.983333   4   216   0.07368   0.42   1   1   4   0.3   right   1   
21   0.9   1   72   0.2   0.42   1   1   4   0.3   right   1   
22   1.11667   1   288   0.04472   0.42   -1   1   4   0.3   right   0   
23   1.16667   4   288   0.07368   0.42   1   1   4   0.3   right   1   
24   1.0   4   216   0.01648   0.42   1   1   4   0.3   left   0   
25   1.06667   4   72   0.07368   0.42   -1   1   4   0.3   right   0   
26   1.0   1   216   0.07368   0.42   1   1   4   0.3   right   1   
27   1.26667   1   72   0.01648   0.42   -1   1   4   0.3   left   1   
28   0.966666   1   144   0.12139   0.42   1   1   4   0.3   right   1   
29   1.08333   4   0   0.12139   0.42   -1   1   4   0.3   right   0   
