Experiment   Time   Size   InitialPhase   Duration   Contrast   Direction   Frequency   Speed   FixationTime   Answer   Correct   
1   0.8   1   216   0.07368   0.42   -1   1   4   0.3   left   1   
2   0.533333   1   0   0.2   0.42   1   1   4   0.3   right   1   
3   0.616667   1   0   0.12139   0.42   1   1   4   0.3   right   1   
4   0.716667   4   0   0.07368   0.42   1   1   4   0.3   right   1   
5   0.75   4   0   0.01   0.42   -1   1   4   0.308333   right   0   
6   0.716667   1   0   0.027144   0.42   -1   1   4   0.3   left   1   
7   0.716667   1   0   0.04472   0.42   -1   1   4   0.3   left   1   
8   0.55   1   72   0.2   0.42   1   1   4   0.3   right   1   
9   0.666667   1   72   0.04472   0.42   -1   1   4   0.3   left   1   
10   0.716667   1   216   0.01648   0.42   -1   1   4   0.3   right   0   
11   0.75   1   216   0.04472   0.42   1   1   4   0.3   right   1   
12   0.716667   4   72   0.01648   0.42   1   1   4   0.3   left   0   
13   0.75   1   288   0.01   0.42   -1   1   4   0.308333   left   1   
14   0.7   4   72   0.027144   0.42   -1   1   4   0.3   right   0   
15   0.633333   1   144   0.07368   0.42   -1   1   4   0.3   left   1   
16   0.833333   4   216   0.01   0.42   1   1   4   0.308333   right   1   
17   0.716667   1   72   0.04472   0.42   1   1   4   0.3   right   1   
18   0.716667   4   0   0.027144   0.42   -1   1   4   0.3   right   0   
19   0.633333   1   288   0.12139   0.42   1   1   4   0.3   right   1   
20   0.633333   1   144   0.04472   0.42   1   1   4   0.3   right   1   
21   0.666667   1   216   0.01   0.42   -1   1   4   0.308333   right   0   
22   0.633333   1   144   0.12139   0.42   1   1   4   0.3   right   1   
23   0.633333   1   216   0.07368   0.42   1   1   4   0.3   right   1   
24   0.766667   4   288   0.04472   0.42   -1   1   4   0.3   left   1   
25   0.666667   1   144   0.07368   0.42   1   1   4   0.3   right   1   
26   1.18333   4   216   0.027144   0.42   -1   1   4   0.3   left   1   
27   0.566667   4   144   0.2   0.42   -1   1   4   0.3   left   1   
28   0.916666   4   144   0.04472   0.42   1   1   4   0.3   right   1   
29   0.816667   1   72   0.01648   0.42   -1   1   4   0.3   right   0   
30   0.666667   1   216   0.12139   0.42   1   1   4   0.3   right   1   
31   0.716667   4   288   0.07368   0.42   1   1   4   0.3   left   0   
32   0.916666   4   72   0.01   0.42   -1   1   4   0.308333   right   0   
33   0.666667   1   144   0.12139   0.42   -1   1   4   0.3   left   1   
34   0.8   4   0   0.07368   0.42   -1   1   4   0.3   left   1   
35   0.75   4   144   0.027144   0.42   -1   1   4   0.3   left   1   
36   0.716667   1   0   0.12139   0.42   -1   1   4   0.3   left   1   
37   0.766667   4   288   0.12139   0.42   -1   1   4   0.3   left   1   
38   0.833333   4   288   0.01648   0.42   -1   1   4   0.3   left   1   
39   0.7   1   216   0.2   0.42   -1   1   4   0.3   left   1   
40   1.01667   1   216   0.01648   0.42   1   1   4   0.3   right   1   
41   0.733333   1   216   0.04472   0.42   -1   1   4   0.3   left   1   
42   0.583333   1   72   0.2   0.42   -1   1   4   0.3   left   1   
43   0.883333   4   288   0.027144   0.42   1   1   4   0.3   left   0   
44   0.716667   1   288   0.2   0.42   1   1   4   0.3   right   1   
45   1.25   1   72   0.027144   0.42   -1   1   4   0.3   right   0   
46   0.966666   4   144   0.12139   0.42   -1   1   4   0.3   right   0   
47   0.816667   4   72   0.2   0.42   -1   1   4   0.3   left   1   
48   0.666667   1   216   0.12139   0.42   -1   1   4   0.3   left   1   
49   0.816667   4   72   0.04472   0.42   -1   1   4   0.3   right   0   
50   0.716667   1   288   0.027144   0.42   1   1   4   0.3   right   1   
51   0.65   4   0   0.04472   0.42   -1   1   4   0.3   right   0   
52   0.683333   4   0   0.01648   0.42   1   1   4   0.3   left   0   
53   0.733333   1   288   0.01648   0.42   -1   1   4   0.3   left   1   
54   0.783333   1   0   0.01   0.42   1   1   4   0.308333   right   1   
55   0.933333   1   144   0.01648   0.42   -1   1   4   0.3   left   1   
56   0.65   4   72   0.2   0.42   1   1   4   0.3   right   1   
57   0.733333   4   0   0.01648   0.42   -1   1   4   0.3   left   1   
58   0.633333   1   0   0.2   0.42   -1   1   4   0.3   left   1   
59   0.683333   4   144   0.07368   0.42   -1   1   4   0.3   left   1   
60   0.683333   4   144   0.01648   0.42   1   1   4   0.3   left   0   
61   0.733333   4   288   0.01648   0.42   1   1   4   0.3   left   0   
62   0.65   4   72   0.027144   0.42   1   1   4   0.3   left   0   
63   0.683333   4   144   0.01   0.42   -1   1   4   0.308333   left   1   
64   0.683333   1   144   0.027144   0.42   -1   1   4   0.3   left   1   
65   0.65   4   216   0.01648   0.42   1   1   4   0.3   left   0   
66   0.65   1   288   0.027144   0.42   -1   1   4   0.3   left   1   
67   0.6   1   144   0.04472   0.42   -1   1   4   0.3   left   1   
68   0.7   4   288   0.07368   0.42   -1   1   4   0.3   left   1   
69   0.45   4   0   0.2   0.42   -1   1   4   0.3   left   1   
70   0.85   1   144   0.01   0.42   1   1   4   0.308333   left   0   
71   0.633333   4   144   0.04472   0.42   -1   1   4   0.3   left   1   
72   0.616667   4   216   0.04472   0.42   1   1   4   0.3   left   0   
73   0.5   4   288   0.2   0.42   -1   1   4   0.3   left   1   
74   0.633333   1   0   0.07368   0.42   -1   1   4   0.3   left   1   
75   0.6   1   72   0.07368   0.42   -1   1   4   0.3   left   1   
76   0.633333   1   72   0.01   0.42   1   1   4   0.308333   left   0   
77   0.616667   4   216   0.07368   0.42   1   1   4   0.3   left   0   
78   0.616667   1   144   0.2   0.42   1   1   4   0.3   right   1   
79   0.916666   4   144   0.12139   0.42   1   1   4   0.3   right   1   
80   0.883333   1   0   0.027144   0.42   1   1   4   0.3   right   1   
81   0.833333   4   288   0.027144   0.42   -1   1   4   0.3   right   0   
82   0.716667   1   144   0.027144   0.42   1   1   4   0.3   right   1   
83   0.516667   1   72   0.12139   0.42   -1   1   4   0.3   right   0   
84   0.733333   4   216   0.027144   0.42   1   1   4   0.3   right   1   
85   0.766667   1   288   0.01   0.42   1   1   4   0.308333   right   1   
86   0.683333   1   0   0.04472   0.42   1   1   4   0.3   right   1   
87   0.783333   4   72   0.01648   0.42   -1   1   4   0.3   left   1   
88   0.75   4   144   0.027144   0.42   1   1   4   0.3   left   0   
89   0.783333   1   144   0.01   0.42   -1   1   4   0.308333   left   1   
90   0.9   4   144   0.07368   0.42   1   1   4   0.3   right   1   
91   0.733333   1   288   0.04472   0.42   1   1   4   0.3   right   1   
92   0.75   4   216   0.01648   0.42   -1   1   4   0.3   left   1   
93   0.8   1   72   0.01   0.42   -1   1   4   0.308333   left   1   
94   0.616667   4   288   0.12139   0.42   1   1   4   0.3   right   1   
95   0.933333   1   0   0.01648   0.42   -1   1   4   0.3   right   0   
96   0.466667   4   216   0.2   0.42   -1   1   4   0.3   left   1   
97   0.766667   4   288   0.04472   0.42   1   1   4   0.3   right   1   
98   0.65   4   0   0.12139   0.42   -1   1   4   0.3   left   1   
99   0.8   1   72   0.01648   0.42   1   1   4   0.3   right   1   
100   0.7   4   216   0.04472   0.42   -1   1   4   0.3   right   0   
101   0.7   4   216   0.12139   0.42   1   1   4   0.3   right   1   
102   0.6   1   216   0.2   0.42   1   1   4   0.3   right   1   
103   0.783333   4   144   0.01648   0.42   -1   1   4   0.3   left   1   
104   0.916666   4   288   0.01   0.42   1   1   4   0.308333   left   0   
105   0.783333   1   288   0.01648   0.42   1   1   4   0.3   left   0   
106   1.0   4   72   0.07368   0.42   1   1   4   0.3   right   1   
107   0.75   1   216   0.027144   0.42   1   1   4   0.3   left   0   
108   1.11667   4   288   0.2   0.42   1   1   4   0.3   right   1   
109   0.7   4   72   0.12139   0.42   -1   1   4   0.3   left   1   
110   0.683333   4   216   0.2   0.42   1   1   4   0.3   right   1   
111   0.75   1   144   0.2   0.42   -1   1   4   0.3   left   1   
112   0.7   1   288   0.07368   0.42   1   1   4   0.3   right   1   
113   0.6   1   288   0.2   0.42   -1   1   4   0.3   left   1   
114   0.75   4   72   0.07368   0.42   -1   1   4   0.3   left   1   
115   1.85   4   0   0.01   0.42   1   1   4   0.308333   right   1   
116   0.966666   4   72   0.01   0.42   1   1   4   0.308333   left   0   
117   0.816667   1   144   0.01648   0.42   1   1   4   0.3   left   0   
118   0.633333   4   144   0.2   0.42   1   1   4   0.3   right   1   
119   0.7   4   72   0.12139   0.42   1   1   4   0.3   right   1   
120   0.666667   1   72   0.07368   0.42   1   1   4   0.3   right   1   
121   0.65   1   288   0.12139   0.42   -1   1   4   0.3   left   1   
122   0.65   1   288   0.07368   0.42   -1   1   4   0.3   left   1   
123   0.9   4   144   0.01   0.42   1   1   4   0.308333   right   1   
124   0.866666   4   0   0.04472   0.42   1   1   4   0.3   right   1   
125   0.733333   4   0   0.027144   0.42   1   1   4   0.3   right   1   
126   0.733333   1   216   0.027144   0.42   -1   1   4   0.3   left   1   
127   0.733333   4   216   0.01   0.42   -1   1   4   0.308333   left   1   
128   0.766667   1   0   0.01   0.42   -1   1   4   0.308333   left   1   
129   0.883333   4   288   0.01   0.42   -1   1   4   0.308333   left   1   
130   0.683333   4   0   0.12139   0.42   1   1   4   0.3   right   1   
131   0.816667   1   72   0.027144   0.42   1   1   4   0.3   right   1   
132   0.75   1   288   0.04472   0.42   -1   1   4   0.3   left   1   
133   0.7   4   216   0.07368   0.42   -1   1   4   0.3   left   1   
134   0.816667   1   0   0.01648   0.42   1   1   4   0.3   left   0   
135   0.766667   4   72   0.04472   0.42   1   1   4   0.3   left   0   
136   0.833333   1   0   0.07368   0.42   1   1   4   0.3   right   1   
137   0.8   4   216   0.12139   0.42   -1   1   4   0.3   left   1   
138   0.783333   4   0   0.2   0.42   1   1   4   0.3   right   1   
139   1.13333   1   216   0.01   0.42   1   1   4   0.308333   right   1   
140   1.16667   1   72   0.12139   0.42   1   1   4   0.3   right   1   
141   0.983333   1   288   0.01648   0.42   -1   1   4   0.3   right   0   
142   0.65   1   0   0.07368   0.42   -1   1   4   0.3   left   1   
143   1.3   4   144   0.01   0.42   1   1   4   0.308333   left   0   
144   0.683333   1   288   0.027144   0.42   -1   1   4   0.3   left   1   
145   0.65   1   216   0.07368   0.42   1   1   4   0.3   right   1   
146   0.516667   4   216   0.2   0.42   1   1   4   0.3   right   1   
147   0.733333   4   216   0.01   0.42   1   1   4   0.308333   right   1   
148   0.65   1   216   0.027144   0.42   1   1   4   0.3   right   1   
149   0.816667   4   288   0.01648   0.42   -1   1   4   0.3   left   1   
150   0.716667   1   144   0.027144   0.42   1   1   4   0.3   right   1   
151   0.7   4   72   0.04472   0.42   1   1   4   0.3   right   1   
152   1.91667   1   72   0.04472   0.42   1   1   4   0.3   right   1   
153   0.65   1   288   0.04472   0.42   1   1   4   0.3   right   1   
154   0.583333   1   144   0.12139   0.42   1   1   4   0.3   right   1   
155   0.633333   4   72   0.2   0.42   -1   1   4   0.3   left   1   
156   0.716667   4   288   0.027144   0.42   -1   1   4   0.3   left   1   
157   0.85   4   288   0.12139   0.42   1   1   4   0.3   right   1   
158   0.683333   4   216   0.01648   0.42   -1   1   4   0.3   right   0   
159   0.683333   1   144   0.04472   0.42   -1   1   4   0.3   left   1   
160   0.583333   1   216   0.2   0.42   -1   1   4   0.3   left   1   
161   0.666667   1   216   0.07368   0.42   -1   1   4   0.3   left   1   
162   0.933333   4   72   0.01   0.42   -1   1   4   0.308333   right   0   
163   0.683333   1   288   0.12139   0.42   1   1   4   0.3   right   1   
164   0.733333   1   144   0.01648   0.42   -1   1   4   0.3   right   0   
165   0.566667   4   144   0.2   0.42   -1   1   4   0.3   left   1   
166   0.766667   1   216   0.01648   0.42   1   1   4   0.3   left   0   
167   0.616667   1   288   0.07368   0.42   -1   1   4   0.3   left   1   
168   0.6   1   216   0.027144   0.42   -1   1   4   0.3   left   1   
169   0.683333   1   0   0.01648   0.42   -1   1   4   0.3   left   1   
170   0.95   4   288   0.01   0.42   -1   1   4   0.308333   right   0   
171   0.75   1   72   0.01648   0.42   1   1   4   0.3   right   1   
172   0.666667   1   288   0.07368   0.42   1   1   4   0.3   right   1   
173   0.666667   4   144   0.027144   0.42   1   1   4   0.3   right   1   
174   0.683333   4   72   0.027144   0.42   -1   1   4   0.3   right   0   
175   0.683333   1   216   0.04472   0.42   1   1   4   0.3   right   1   
176   0.95   1   0   0.027144   0.42   1   1   4   0.3   right   1   
177   0.533333   4   0   0.2   0.42   -1   1   4   0.3   left   1   
178   0.85   1   288   0.027144   0.42   1   1   4   0.3   right   1   
179   0.816667   1   72   0.07368   0.42   -1   1   4   0.3   left   1   
180   0.716667   4   0   0.027144   0.42   1   1   4   0.3   left   0   
181   1.0   1   144   0.01   0.42   1   1   4   0.308333   right   1   
182   0.666667   1   216   0.2   0.42   1   1   4   0.3   right   1   
183   0.733333   4   288   0.07368   0.42   -1   1   4   0.3   left   1   
184   0.8   1   72   0.04472   0.42   -1   1   4   0.3   left   1   
185   0.8   4   72   0.07368   0.42   1   1   4   0.3   right   1   
186   0.683333   4   288   0.12139   0.42   -1   1   4   0.3   left   1   
187   0.933333   1   0   0.027144   0.42   -1   1   4   0.3   left   1   
188   0.716667   1   144   0.01   0.42   -1   1   4   0.308333   left   1   
189   0.7   4   0   0.12139   0.42   1   1   4   0.3   right   1   
190   0.716667   1   0   0.04472   0.42   1   1   4   0.3   right   1   
191   0.733333   4   144   0.04472   0.42   1   1   4   0.3   right   1   
192   0.666667   4   0   0.04472   0.42   -1   1   4   0.3   right   0   
193   0.633333   4   288   0.027144   0.42   1   1   4   0.3   right   1   
194   0.583333   1   0   0.12139   0.42   -1   1   4   0.3   right   0   
195   0.733333   4   216   0.04472   0.42   1   1   4   0.3   right   1   
196   0.6   1   0   0.2   0.42   1   1   4   0.3   right   1   
197   0.716667   4   0   0.04472   0.42   1   1   4   0.3   right   1   
198   0.733333   4   0   0.027144   0.42   -1   1   4   0.3   right   0   
199   0.766667   4   72   0.04472   0.42   -1   1   4   0.3   right   0   
200   0.866666   4   72   0.027144   0.42   1   1   4   0.3   left   0   
201   0.783333   4   72   0.01648   0.42   -1   1   4   0.3   right   0   
202   0.8   1   144   0.027144   0.42   -1   1   4   0.3   left   1   
203   0.733333   4   216   0.027144   0.42   -1   1   4   0.3   right   0   
204   0.733333   1   144   0.01648   0.42   1   1   4   0.3   right   1   
205   0.766667   4   0   0.01   0.42   -1   1   4   0.308333   right   0   
206   0.866666   4   216   0.01648   0.42   1   1   4   0.3   right   1   
207   0.7   1   0   0.01   0.42   1   1   4   0.308333   right   1   
208   0.933333   4   72   0.07368   0.42   -1   1   4   0.3   left   1   
209   0.85   4   72   0.12139   0.42   -1   1   4   0.3   left   1   
210   0.733333   4   216   0.07368   0.42   -1   1   4   0.3   left   1   
211   0.75   1   0   0.04472   0.42   -1   1   4   0.3   left   1   
212   0.6   1   72   0.2   0.42   -1   1   4   0.3   left   1   
213   0.816667   1   72   0.12139   0.42   1   1   4   0.3   right   1   
214   0.833333   4   144   0.07368   0.42   1   1   4   0.3   right   1   
215   0.733333   4   288   0.2   0.42   1   1   4   0.3   right   1   
216   0.8   4   288   0.01   0.42   1   1   4   0.308333   right   1   
217   0.633333   1   0   0.12139   0.42   1   1   4   0.3   right   1   
218   1.01667   1   288   0.01648   0.42   1   1   4   0.3   right   1   
219   0.783333   4   0   0.01648   0.42   -1   1   4   0.3   right   0   
220   1.01667   4   216   0.2   0.42   -1   1   4   0.3   left   1   
221   0.816667   4   288   0.01648   0.42   1   1   4   0.3   left   0   
222   0.633333   1   288   0.2   0.42   1   1   4   0.3   right   1   
223   0.783333   1   144   0.07368   0.42   -1   1   4   0.3   left   1   
224   0.783333   1   216   0.01   0.42   1   1   4   0.308333   right   1   
225   0.683333   1   72   0.01   0.42   1   1   4   0.308333   right   1   
226   0.55   1   0   0.2   0.42   -1   1   4   0.3   left   1   
227   0.683333   1   0   0.07368   0.42   1   1   4   0.3   right   1   
228   0.783333   1   72   0.027144   0.42   1   1   4   0.3   right   1   
229   0.683333   1   72   0.12139   0.42   -1   1   4   0.3   left   1   
230   0.683333   4   216   0.07368   0.42   1   1   4   0.3   right   1   
231   0.7   1   144   0.04472   0.42   1   1   4   0.3   right   1   
232   0.65   4   288   0.07368   0.42   1   1   4   0.3   right   1   
233   1.35   4   216   0.01   0.42   -1   1   4   0.308333   left   1   
234   0.516667   4   144   0.2   0.42   1   1   4   0.3   right   1   
235   0.816667   4   144   0.01648   0.42   -1   1   4   0.3   left   1   
236   0.783333   4   144   0.01648   0.42   1   1   4   0.3   right   1   
237   0.7   4   0   0.2   0.42   1   1   4   0.3   right   1   
238   0.65   1   144   0.2   0.42   -1   1   4   0.3   left   1   
239   0.65   1   288   0.04472   0.42   -1   1   4   0.3   left   1   
240   0.683333   4   216   0.12139   0.42   1   1   4   0.3   right   1   
241   0.9   1   72   0.01648   0.42   -1   1   4   0.3   left   1   
242   0.8   4   72   0.01648   0.42   1   1   4   0.3   right   1   
243   0.7   1   216   0.12139   0.42   -1   1   4   0.3   left   1   
244   0.633333   1   144   0.12139   0.42   -1   1   4   0.3   left   1   
245   0.8   4   216   0.04472   0.42   -1   1   4   0.3   right   0   
246   0.783333   4   144   0.04472   0.42   -1   1   4   0.3   right   0   
247   0.916666   1   72   0.01   0.42   -1   1   4   0.308333   right   0   
248   0.9   1   216   0.04472   0.42   -1   1   4   0.3   left   1   
249   0.683333   4   144   0.12139   0.42   1   1   4   0.3   right   1   
250   0.833333   4   144   0.01   0.42   -1   1   4   0.308333   left   1   
251   0.766667   4   288   0.2   0.42   -1   1   4   0.3   left   1   
252   0.75   4   144   0.07368   0.42   -1   1   4   0.3   left   1   
253   0.716667   4   0   0.12139   0.42   -1   1   4   0.3   left   1   
254   0.8   1   288   0.01   0.42   1   1   4   0.308333   right   1   
255   0.866666   4   72   0.01   0.42   1   1   4   0.308333   left   0   
256   0.716667   1   288   0.12139   0.42   -1   1   4   0.3   left   1   
257   0.783333   4   72   0.12139   0.42   1   1   4   0.3   right   1   
258   0.733333   1   0   0.01   0.42   -1   1   4   0.308333   left   1   
259   0.683333   1   144   0.07368   0.42   1   1   4   0.3   right   1   
260   0.95   1   216   0.01   0.42   -1   1   4   0.308333   left   1   
261   1.45   4   0   0.01648   0.42   1   1   4   0.3   right   1   
262   0.533333   1   144   0.2   0.42   1   1   4   0.3   right   1   
263   0.866666   4   0   0.07368   0.42   -1   1   4   0.3   left   1   
264   0.75   4   288   0.04472   0.42   1   1   4   0.3   right   1   
265   0.766667   1   0   0.01648   0.42   1   1   4   0.3   right   1   
266   0.566667   1   216   0.12139   0.42   1   1   4   0.3   right   1   
267   0.733333   1   216   0.01648   0.42   -1   1   4   0.3   right   0   
268   1.05   4   216   0.027144   0.42   1   1   4   0.3   right   1   
269   0.833333   4   288   0.04472   0.42   -1   1   4   0.3   left   1   
270   0.75   1   72   0.07368   0.42   1   1   4   0.3   right   1   
271   0.966666   1   288   0.01   0.42   -1   1   4   0.308333   left   1   
272   0.583333   4   72   0.2   0.42   1   1   4   0.3   right   1   
273   1.0   4   144   0.027144   0.42   -1   1   4   0.3   left   1   
274   0.95   4   0   0.01   0.42   1   1   4   0.308333   right   1   
275   0.766667   4   144   0.12139   0.42   -1   1   4   0.3   left   1   
276   0.616667   4   216   0.12139   0.42   -1   1   4   0.3   left   1   
277   0.683333   4   0   0.07368   0.42   1   1   4   0.3   left   0   
278   0.65   1   288   0.2   0.42   -1   1   4   0.3   left   1   
279   0.8   1   72   0.027144   0.42   -1   1   4   0.3   left   1   
280   0.833333   1   72   0.2   0.42   1   1   4   0.3   right   1   
