Experiment   Time   Size   InitialPhase   Duration   Contrast   Direction   Frequency   Speed   FixationTime   Answer   Correct   
1   0.733333   4   0   0.12139   0.42   -1   1   4   0.3   left   1   
2   0.733333   1   288   0.04472   0.42   -1   1   4   0.3   left   1   
3   0.716667   1   216   0.027144   0.42   1   1   4   0.3   right   1   
4   0.75   1   0   0.01   0.42   1   1   4   0.308333   right   1   
5   0.8   1   144   0.01648   0.42   1   1   4   0.3   right   1   
6   0.783333   4   0   0.027144   0.42   1   1   4   0.3   left   0   
7   0.7   1   288   0.2   0.42   -1   1   4   0.3   left   1   
8   0.716667   1   288   0.07368   0.42   1   1   4   0.3   right   1   
9   0.6   1   144   0.12139   0.42   -1   1   4   0.3   left   1   
10   0.833333   4   288   0.04472   0.42   1   1   4   0.3   right   1   
11   0.833333   4   72   0.01648   0.42   1   1   4   0.3   right   1   
12   0.883333   4   216   0.01   0.42   -1   1   4   0.308333   left   1   
13   0.583333   1   144   0.2   0.42   1   1   4   0.3   right   1   
14   0.833333   1   0   0.01648   0.42   -1   1   4   0.3   right   0   
15   0.666667   4   216   0.12139   0.42   -1   1   4   0.3   left   1   
16   0.75   1   72   0.07368   0.42   -1   1   4   0.3   left   1   
17   0.983333   4   0   0.01648   0.42   -1   1   4   0.3   left   1   
18   0.9   1   0   0.027144   0.42   -1   1   4   0.3   left   1   
19   0.75   4   288   0.01648   0.42   -1   1   4   0.3   right   0   
20   0.683333   4   72   0.027144   0.42   -1   1   4   0.3   left   1   
21   0.866666   4   144   0.01   0.42   1   1   4   0.308333   right   1   
22   0.566667   4   72   0.2   0.42   1   1   4   0.3   right   1   
23   0.833333   4   216   0.027144   0.42   1   1   4   0.3   right   1   
24   0.666667   4   0   0.12139   0.42   1   1   4   0.3   right   1   
25   0.583333   4   72   0.12139   0.42   -1   1   4   0.3   left   1   
26   0.6   4   144   0.12139   0.42   1   1   4   0.3   right   1   
27   0.9   1   72   0.01   0.42   -1   1   4   0.308333   right   0   
28   0.683333   4   288   0.027144   0.42   1   1   4   0.3   left   0   
29   0.783333   1   0   0.027144   0.42   1   1   4   0.3   right   1   
30   0.566667   4   0   0.2   0.42   -1   1   4   0.3   left   1   
31   0.633333   1   72   0.12139   0.42   -1   1   4   0.3   left   1   
32   0.833333   1   144   0.01   0.42   1   1   4   0.308333   right   1   
33   0.7   1   216   0.04472   0.42   -1   1   4   0.3   left   1   
34   0.733333   4   216   0.04472   0.42   -1   1   4   0.3   left   1   
35   0.6   4   216   0.2   0.42   1   1   4   0.3   right   1   
36   0.733333   1   72   0.027144   0.42   -1   1   4   0.3   left   1   
37   0.666667   4   144   0.07368   0.42   -1   1   4   0.3   left   1   
38   0.716667   1   72   0.04472   0.42   -1   1   4   0.3   left   1   
39   0.683333   4   144   0.01648   0.42   1   1   4   0.3   right   1   
40   0.633333   4   288   0.07368   0.42   1   1   4   0.3   right   1   
41   0.666667   1   144   0.04472   0.42   1   1   4   0.3   right   1   
42   0.816667   4   288   0.01648   0.42   1   1   4   0.3   right   1   
43   0.75   4   72   0.01   0.42   -1   1   4   0.308333   right   0   
44   0.866666   1   144   0.01648   0.42   -1   1   4   0.3   right   0   
45   0.766667   1   288   0.027144   0.42   -1   1   4   0.3   left   1   
46   0.583333   4   144   0.2   0.42   1   1   4   0.3   right   1   
47   0.633333   1   144   0.2   0.42   -1   1   4   0.3   left   1   
48   1.0   1   72   0.01   0.42   1   1   4   0.308333   left   0   
49   0.733333   4   72   0.07368   0.42   -1   1   4   0.3   left   1   
50   0.983333   1   288   0.01648   0.42   1   1   4   0.3   left   0   
51   0.766667   1   288   0.04472   0.42   1   1   4   0.3   right   1   
52   0.8   4   72   0.04472   0.42   1   1   4   0.3   right   1   
53   0.583333   4   288   0.2   0.42   1   1   4   0.3   right   1   
54   0.583333   4   216   0.2   0.42   -1   1   4   0.3   left   1   
55   0.866666   1   216   0.01648   0.42   1   1   4   0.3   right   1   
56   0.533333   4   144   0.2   0.42   -1   1   4   0.3   left   1   
57   0.816667   1   0   0.01648   0.42   1   1   4   0.3   right   1   
