trial durationPreFixation durationFixation direction durationGrating duration speed phaseIni contrast size response correct time_onset time_fixation time_stimulus time_response
1 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.2 0.42 22.0 left 1 30.9583358765 31.3821640015 31.7942090034 32.8726520538
2 0.3 0.3 1 0.3 0.0271441761659 4.0 0.2 0.42 90.0 right 1 32.9012050629 33.3250858784 33.7372560501 35.223099947
3 0.3 0.3 1 0.3 0.121392446201 4.0 0.0 0.42 90.0 right 1 35.256403923 35.6803998947 36.0925300121 37.0012278557
4 0.3 0.3 1 0.3 0.121392446201 4.0 0.4 0.42 22.0 right 1 37.0345308781 37.4585459232 37.8706569672 38.6263768673
5 0.3 0.3 1 0.3 0.0271441761659 4.0 0.2 0.42 22.0 right 1 38.6597800255 39.0836448669 39.4957308769 40.5221259594
6 0.3 0.3 1 0.3 0.0736806299728 4.0 0.6 0.42 90.0 right 1 40.5556750298 40.9796299934 41.3917109966 42.4537138939
7 0.3 0.3 -1 0.3 0.2 4.0 0.4 0.42 90.0 left 1 42.486882925 42.910848856 43.3229620457 44.8323578835
8 0.3 0.3 1 0.3 0.0164754897244 4.0 0.4 0.42 22.0 right 1 44.8656668663 45.2895960808 45.7018649578 47.0344450474
9 0.3 0.3 1 0.3 0.2 4.0 0.8 0.42 22.0 right 1 47.0679090023 47.4917609692 47.9039728642 48.848389864
10 0.3 0.3 1 0.3 0.0271441761659 4.0 0.4 0.42 22.0 right 1 48.893032074 49.317043066 49.7292618752 51.168284893
11 0.3 0.3 1 0.3 0.0271441761659 4.0 0.6 0.42 90.0 right 1 51.2129230499 51.6369829178 52.0490739346 53.6525499821
12 0.3 0.3 -1 0.3 0.121392446201 4.0 0.2 0.42 22.0 left 1 53.6859660149 54.1099748611 54.5220320225 55.383918047
13 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.4 0.42 22.0 right 0 55.4171259403 55.840982914 56.2531960011 57.8214740753
14 0.3 0.3 1 0.3 0.2 4.0 0.6 0.42 90.0 right 1 57.8548560143 58.2786149979 58.6909270287 59.8821489811
15 0.3 0.3 -1 0.3 0.04472135955 4.0 0.4 0.42 22.0 left 1 59.9154539108 60.3395709991 60.7516670227 61.7192940712
16 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.0 0.42 90.0 right 0 61.7527148724 62.1765179634 62.5887789726 64.9104568958
17 0.3 0.3 1 0.3 0.121392446201 4.0 0.4 0.42 90.0 right 1 64.9439470768 65.3677949905 65.7799539566 66.7241799831
18 0.3 0.3 1 0.3 0.0271441761659 4.0 0.6 0.42 22.0 left 0 66.7573540211 67.1814050674 67.5934529305 68.596517086
19 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.0 0.42 22.0 left 1 68.6298389435 69.0536539555 69.4658420086 70.4332890511
20 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.4 0.42 22.0 left 1 70.4668190479 70.8909008503 71.3030390739 72.2590620518
21 0.3 0.3 1 0.3 0.0736806299728 4.0 0.8 0.42 90.0 right 1 72.2920680046 72.7161209583 73.1282908916 74.0255770683
22 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.2 0.42 90.0 right 0 74.0584690571 74.4825029373 74.894687891 75.9329929352
23 0.3 0.3 1 0.3 0.04472135955 4.0 0.6 0.42 90.0 right 1 75.9662959576 76.3902258873 76.8023509979 77.7467610836
24 0.3 0.3 1 0.3 0.0736806299728 4.0 0.4 0.42 90.0 right 1 77.7799038887 78.2037119865 78.6158249378 79.4892458916
25 0.3 0.3 1 0.3 0.04472135955 4.0 0.4 0.42 22.0 right 1 79.5226068497 79.9466040134 80.3587770462 81.2799448967
26 0.3 0.3 1 0.3 0.0736806299728 4.0 0.8 0.42 22.0 right 1 81.3243670464 81.7483580112 82.1604878902 82.986800909
27 0.3 0.3 1 0.3 0.2 4.0 0.6 0.42 22.0 right 1 83.0202178955 83.44409585 83.8561508656 84.7299349308
28 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.4 0.42 90.0 right 0 84.7629899979 85.1869220734 85.5991859436 86.7788109779
29 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.8 0.42 22.0 right 0 86.8120748997 87.2360730171 87.6482269764 88.9453618526
30 0.3 0.3 1 0.3 0.01 4.0 0.8 0.42 22.0 left 0 88.9788239002 89.4027268887 89.8149039745 90.8770399094
31 0.3 0.3 -1 0.3 0.01 4.0 0.0 0.42 22.0 right 0 90.9100940228 91.3341019154 91.7462790012 93.0315539837
32 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.6 0.42 90.0 right 0 93.0652019978 93.4890480042 93.9012858868 95.1280179024
33 0.3 0.3 1 0.3 0.121392446201 4.0 0.8 0.42 90.0 right 1 95.1612658501 95.5851869583 95.9973940849 96.9886250496
34 0.3 0.3 -1 0.3 0.121392446201 4.0 0.2 0.42 90.0 left 1 97.0218770504 97.4458189011 97.8579230309 98.8845419884
35 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.0 0.42 90.0 left 1 98.9179170132 99.3417999744 99.7540009022 100.792648077
36 0.3 0.3 1 0.3 0.2 4.0 0.4 0.42 22.0 right 1 100.825506926 101.249409914 101.661659002 102.629253864
37 0.3 0.3 1 0.3 0.04472135955 4.0 0.4 0.42 90.0 right 1 102.662735939 103.086570978 103.498712063 104.466626883
38 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.6 0.42 22.0 right 0 104.499655962 104.923560858 105.335857868 106.809808016
39 0.3 0.3 -1 0.3 0.2 4.0 0.0 0.42 90.0 left 1 106.843168974 107.267006874 107.679236889 108.929429054
40 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.8 0.42 90.0 right 0 108.962738991 109.386671066 109.798847914 111.590929985
41 0.3 0.3 -1 0.3 0.01 4.0 0.2 0.42 22.0 left 1 111.624140978 112.048040867 112.460289001 113.439846992
42 0.3 0.3 1 0.3 0.0164754897244 4.0 0.8 0.42 22.0 left 0 113.472966909 113.896993876 114.309155941 115.418107033
43 0.3 0.3 -1 0.3 0.2 4.0 0.6 0.42 22.0 left 1 115.451469898 115.875370979 116.287528038 117.797039032
44 0.3 0.3 -1 0.3 0.121392446201 4.0 0.8 0.42 90.0 left 1 117.830247879 118.254258871 118.666321039 119.657695055
45 0.3 0.3 -1 0.3 0.2 4.0 0.0 0.42 22.0 left 1 119.690803051 120.114803076 120.526926041 121.377665043
46 0.3 0.3 1 0.3 0.0271441761659 4.0 0.0 0.42 22.0 right 1 121.410068989 121.834007978 122.24620986 123.190412045
47 0.3 0.3 1 0.3 0.0271441761659 4.0 0.4 0.42 90.0 left 0 123.223574877 123.647552967 124.059683084 125.027503014
48 0.3 0.3 -1 0.3 0.2 4.0 0.2 0.42 22.0 left 1 125.060770988 125.484618902 125.896785975 126.829416037
49 0.3 0.3 1 0.3 0.2 4.0 0.8 0.42 90.0 right 1 126.862391949 127.286370039 127.698476076 128.984153986
