trial durationPreFixation durationFixation direction durationGrating duration speed phaseIni contrast size response correct time_onset time_fixation time_stimulus time_response
1 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.0 0.42 90.0 left 1 28.7893288136 29.2132678032 29.6254839897 30.5219049454
2 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.8 0.42 90.0 right 0 30.5557188988 30.9796509743 31.3918149471 32.5009849072
3 0.3 0.3 1 0.3 0.121392446201 4.0 0.8 0.42 22.0 right 1 32.534113884 32.9580309391 33.3702368736 34.3499228954
4 0.3 0.3 1 0.3 0.0736806299728 4.0 0.8 0.42 22.0 right 1 34.3829569817 34.8069019318 35.2192099094 36.1395368576
5 0.3 0.3 1 0.3 0.0271441761659 4.0 0.6 0.42 22.0 right 1 36.1728959084 36.5970299244 37.0091118813 37.9179148674
6 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.6 0.42 22.0 left 1 37.9511539936 38.3750088215 38.7873339653 39.7195498943
7 0.3 0.3 -1 0.3 0.04472135955 4.0 0.6 0.42 22.0 left 1 39.7528958321 40.1767838001 40.5889508724 41.4743609428
8 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.2 0.42 22.0 left 1 41.5075178146 41.9315679073 42.3435769081 43.1232450008
9 0.3 0.3 1 0.3 0.0164754897244 4.0 0.0 0.42 22.0 right 1 43.1681118011 43.5919539928 44.0041408539 44.877617836
10 0.3 0.3 1 0.3 0.01 4.0 0.8 0.42 22.0 left 0 44.9108839035 45.3348228931 45.7469120026 46.5498919487
11 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.6 0.42 90.0 left 1 46.582983017 47.0069339275 47.419121027 48.4104619026
12 0.3 0.3 -1 0.3 0.04472135955 4.0 0.4 0.42 90.0 left 1 48.4436018467 48.867623806 49.2797749043 50.2829709053
13 0.3 0.3 1 0.3 0.0736806299728 4.0 0.8 0.42 90.0 right 1 50.3161258698 50.7399768829 51.1521019936 52.155479908
14 0.3 0.3 1 0.3 0.121392446201 4.0 0.6 0.42 22.0 right 1 52.1885378361 52.6123549938 53.0245950222 53.8038778305
15 0.3 0.3 1 0.3 0.0164754897244 4.0 0.0 0.42 90.0 left 0 53.837143898 54.2611129284 54.6732828617 55.5116138458
16 0.3 0.3 1 0.3 0.0736806299728 4.0 0.0 0.42 90.0 right 1 55.54468894 55.9685869217 56.3807640076 57.1249089241
17 0.3 0.3 1 0.3 0.04472135955 4.0 0.6 0.42 90.0 right 1 57.1580410004 57.581925869 57.9941220284 58.8675889969
18 0.3 0.3 1 0.3 0.0271441761659 4.0 0.0 0.42 90.0 right 1 58.9009068012 59.3247578144 59.7369189262 60.5282719135
19 0.3 0.3 1 0.3 0.04472135955 4.0 0.4 0.42 90.0 right 1 60.5612637997 60.985200882 61.39742589 62.1650159359
20 0.3 0.3 -1 0.3 0.2 4.0 0.0 0.42 90.0 left 1 62.1981198788 62.6220359802 63.0342879295 63.6261370182
21 0.3 0.3 1 0.3 0.2 4.0 0.4 0.42 90.0 right 1 63.6584029198 64.0823118687 64.4944548607 64.9334189892
22 0.3 0.3 1 0.3 0.121392446201 4.0 0.4 0.42 90.0 right 1 64.9655809402 65.3894989491 65.8016848564 66.4293730259
23 0.3 0.3 1 0.3 0.0271441761659 4.0 0.0 0.42 22.0 left 0 66.4610879421 66.8851568699 67.2972099781 68.0883288383
24 0.3 0.3 1 0.3 0.0271441761659 4.0 0.2 0.42 90.0 right 1 68.1216259003 68.5454628468 68.9577138424 69.7960178852
25 0.3 0.3 1 0.3 0.0736806299728 4.0 0.2 0.42 90.0 right 1 69.8291428089 70.2530198097 70.6652398109 71.409430027
26 0.3 0.3 1 0.3 0.01 4.0 0.0 0.42 22.0 right 1 71.4423968792 71.866412878 72.2784450054 73.0343449116
27 0.3 0.3 1 0.3 0.04472135955 4.0 0.8 0.42 90.0 right 1 73.0675618649 73.4914629459 73.9035718441 74.7892479897
28 0.3 0.3 1 0.3 0.0736806299728 4.0 0.4 0.42 22.0 right 1 74.8221738338 75.2460668087 75.6582238674 76.461222887
29 0.3 0.3 1 0.3 0.01 4.0 0.2 0.42 22.0 right 1 76.4943878651 76.9183459282 77.3305799961 78.1922578812
30 0.3 0.3 1 0.3 0.0271441761659 4.0 0.8 0.42 22.0 right 1 78.225507021 78.6493709087 79.0615279675 79.8056089878
31 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.8 0.42 90.0 right 0 79.8388078213 80.2627518177 80.6749508381 81.5719499588
32 0.3 0.3 -1 0.3 0.121392446201 4.0 0.6 0.42 90.0 left 1 81.6052699089 82.0291469097 82.4412479401 83.3148670197
33 0.3 0.3 -1 0.3 0.2 4.0 0.6 0.42 22.0 left 1 83.3480839729 83.7720139027 84.1840929985 85.0931258202
34 0.3 0.3 1 0.3 0.01 4.0 0.8 0.42 90.0 right 1 85.1262629032 85.5502338409 85.9623589516 86.859705925
35 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.4 0.42 90.0 left 1 86.8928289413 87.3166148663 87.7288138866 88.7202458382
36 0.3 0.3 -1 0.3 0.2 4.0 0.2 0.42 90.0 left 1 88.7532849312 89.17740798 89.5894520283 90.4745650291
37 0.3 0.3 -1 0.3 0.01 4.0 0.4 0.42 90.0 right 0 90.5079209805 90.9319119453 91.3440937996 92.1234090328
38 0.3 0.3 1 0.3 0.04472135955 4.0 0.0 0.42 90.0 right 1 92.156662941 92.5806210041 92.9927198887 93.8309159279
39 0.3 0.3 1 0.3 0.2 4.0 0.8 0.42 90.0 right 1 93.8641300201 94.2880349159 94.7002739906 95.5275878906
40 0.3 0.3 -1 0.3 0.04472135955 4.0 0.6 0.42 90.0 left 1 95.5601158142 95.9839608669 96.3960599899 97.2106928825
41 0.3 0.3 1 0.3 0.04472135955 4.0 0.6 0.42 22.0 right 1 97.2439069748 97.667798996 98.0800127983 98.8357448578
42 0.3 0.3 1 0.3 0.2 4.0 0.0 0.42 22.0 right 1 98.868983984 99.2929258347 99.7051558495 100.32050395
43 0.3 0.3 -1 0.3 0.04472135955 4.0 0.0 0.42 22.0 left 1 100.352772951 100.776826859 101.188861847 101.909331799
44 0.3 0.3 1 0.3 0.0271441761659 4.0 0.4 0.42 90.0 right 1 101.942692995 102.366528034 102.778646946 103.734668016
45 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.8 0.42 22.0 left 1 103.767918825 104.191762924 104.603925943 105.571799994
46 0.3 0.3 -1 0.3 0.01 4.0 0.2 0.42 90.0 right 0 105.604939938 106.029026031 106.441172838 107.361915827
47 0.3 0.3 1 0.3 0.01 4.0 0.4 0.42 90.0 right 1 107.394861937 107.818907022 108.23091197 109.16364789
48 0.3 0.3 -1 0.3 0.121392446201 4.0 0.8 0.42 22.0 left 1 109.196753979 109.620745897 110.032730818 110.788411856
49 0.3 0.3 1 0.3 0.0164754897244 4.0 0.8 0.42 90.0 right 1 110.821754932 111.245666981 111.657859802 112.531420946
50 0.3 0.3 1 0.3 0.01 4.0 0.0 0.42 90.0 right 1 112.564644814 112.988559008 113.400866032 114.333093882
51 0.3 0.3 1 0.3 0.0736806299728 4.0 0.0 0.42 22.0 right 1 114.366276026 114.790305853 115.202528 116.017395973
52 0.3 0.3 -1 0.3 0.01 4.0 0.0 0.42 22.0 right 0 116.050407887 116.474247932 116.886408806 117.689446926
53 0.3 0.3 -1 0.3 0.121392446201 4.0 0.2 0.42 90.0 left 1 117.734376907 118.158457994 118.570538998 119.19759202
54 0.3 0.3 1 0.3 0.2 4.0 0.6 0.42 90.0 right 1 119.229897976 119.653867006 120.066123962 120.563536882
55 0.3 0.3 1 0.3 0.2 4.0 0.2 0.42 90.0 right 1 120.595968962 121.020006895 121.432004929 121.953158855
56 0.3 0.3 1 0.3 0.0164754897244 4.0 0.2 0.42 90.0 right 1 121.985576868 122.409408808 122.821540833 124.001411915
57 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.0 0.42 22.0 left 1 124.034525871 124.458518028 124.870708942 125.79143095
58 0.3 0.3 1 0.3 0.0271441761659 4.0 0.8 0.42 90.0 right 1 125.824534893 126.248454809 126.660620928 127.369441986
