Experiment   Time   Size   InitialPhase   Duration   Contrast   Direction   Frequency   Speed   FixationTime   Answer   Correct   
1   0.816667   1   144   0.027144   0.42   -1   1   4   0.3   left   1   
2   0.9   4   0   0.027144   0.42   -1   1   4   0.3   left   1   
3   0.85   4   72   0.01648   0.42   -1   1   4   0.3   right   0   
4   0.8   4   72   0.04472   0.42   -1   1   4   0.3   left   1   
5   0.816667   4   288   0.01648   0.42   -1   1   4   0.3   left   1   
6   0.75   4   216   0.04472   0.42   -1   1   4   0.3   left   1   
7   0.75   1   144   0.04472   0.42   -1   1   4   0.3   left   1   
8   0.85   4   72   0.2   0.42   1   1   4   0.3   right   1   
9   0.783333   4   288   0.04472   0.42   1   1   4   0.3   right   1   
10   0.966666   1   216   0.2   0.42   1   1   4   0.3   right   1   
11   0.966666   1   72   0.01648   0.42   -1   1   4   0.3   left   1   
12   0.85   1   0   0.2   0.42   1   1   4   0.3   right   1   
13   0.783333   1   216   0.07368   0.42   -1   1   4   0.3   left   1   
14   0.866666   4   0   0.04472   0.42   -1   1   4   0.3   left   1   
15   0.816667   1   288   0.04472   0.42   1   1   4   0.3   right   1   
16   0.766667   4   144   0.07368   0.42   -1   1   4   0.3   left   1   
17   0.766667   4   288   0.2   0.42   1   1   4   0.3   right   1   
18   0.7   4   288   0.12139   0.42   -1   1   4   0.3   left   1   
19   0.783333   4   144   0.12139   0.42   1   1   4   0.3   right   1   
20   0.8   4   144   0.2   0.42   1   1   4   0.3   right   1   
21   0.85   4   0   0.01648   0.42   -1   1   4   0.3   left   1   
22   0.683333   4   72   0.07368   0.42   1   1   4   0.3   right   1   
23   0.816667   4   144   0.04472   0.42   -1   1   4   0.3   left   1   
24   0.783333   1   0   0.027144   0.42   1   1   4   0.3   right   1   
25   0.866666   1   288   0.027144   0.42   -1   1   4   0.3   left   1   
26   0.833333   4   0   0.07368   0.42   -1   1   4   0.3   left   1   
27   0.816667   4   288   0.12139   0.42   1   1   4   0.3   right   1   
28   0.866666   4   144   0.2   0.42   -1   1   4   0.3   left   1   
29   0.7   1   0   0.04472   0.42   1   1   4   0.3   right   1   
30   0.65   1   72   0.12139   0.42   1   1   4   0.3   right   1   
31   1.01667   1   144   0.01   0.42   -1   1   4   0.308333   right   0   
32   0.8   1   0   0.04472   0.42   -1   1   4   0.3   left   1   
33   0.85   1   0   0.12139   0.42   -1   1   4   0.3   left   1   
34   1.3   1   288   0.01648   0.42   -1   1   4   0.3   left   1   
35   0.933333   4   0   0.01   0.42   -1   1   4   0.308333   left   1   
36   0.7   1   144   0.12139   0.42   1   1   4   0.3   right   1   
37   0.683333   4   0   0.04472   0.42   1   1   4   0.3   right   1   
38   0.733333   1   144   0.04472   0.42   1   1   4   0.3   right   1   
39   0.9   4   144   0.07368   0.42   1   1   4   0.3   right   1   
40   0.883333   4   72   0.12139   0.42   -1   1   4   0.3   left   1   
41   0.883333   4   288   0.01648   0.42   1   1   4   0.3   right   1   
42   0.766667   1   216   0.04472   0.42   -1   1   4   0.3   left   1   
43   0.8   4   144   0.04472   0.42   1   1   4   0.3   right   1   
44   0.733333   4   216   0.027144   0.42   1   1   4   0.3   right   1   
45   0.716667   1   144   0.07368   0.42   1   1   4   0.3   right   1   
46   0.783333   1   216   0.01   0.42   1   1   4   0.308333   right   1   
47   0.966666   4   72   0.01648   0.42   1   1   4   0.3   right   1   
48   0.75   1   216   0.04472   0.42   1   1   4   0.3   right   1   
49   0.866666   1   0   0.027144   0.42   -1   1   4   0.3   left   1   
50   0.733333   1   72   0.04472   0.42   -1   1   4   0.3   left   1   
51   0.783333   1   216   0.07368   0.42   1   1   4   0.3   right   1   
52   0.683333   1   288   0.2   0.42   -1   1   4   0.3   left   1   
53   0.733333   4   216   0.01   0.42   -1   1   4   0.308333   right   0   
54   0.9   1   216   0.01648   0.42   1   1   4   0.3   right   1   
55   0.85   4   288   0.2   0.42   -1   1   4   0.3   left   1   
56   0.716667   4   216   0.2   0.42   -1   1   4   0.3   left   1   
57   0.65   4   216   0.2   0.42   1   1   4   0.3   right   1   
58   0.75   1   216   0.01648   0.42   -1   1   4   0.3   left   1   
59   0.683333   4   0   0.01648   0.42   1   1   4   0.3   right   1   
60   0.75   1   144   0.12139   0.42   -1   1   4   0.3   left   1   
61   0.65   4   288   0.027144   0.42   1   1   4   0.3   right   1   
62   0.683333   1   216   0.12139   0.42   1   1   4   0.3   right   1   
63   0.616667   4   0   0.2   0.42   1   1   4   0.3   right   1   
