trial durationPreFixation durationFixation direction durationGrating duration speed phaseIni contrast size response correct time_onset time_fixation time_stimulus time_response
1 0.3 0.3 -1 0.3 0.01 4.0 0.8 0.42 22.0 right 0 31.2231769562 31.6470880508 32.0592989922 33.0227649212
2 0.3 0.3 -1 0.3 0.01 4.0 0.4 0.42 22.0 left 1 33.0483999252 33.4723060131 33.8846271038 34.7699041367
3 0.3 0.3 1 0.3 0.2 4.0 0.4 0.42 90.0 right 1 34.8030290604 35.2270231247 35.6391711235 36.6070230007
4 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.6 0.42 22.0 left 1 36.6401400566 37.0640439987 37.4761989117 38.3025119305
5 0.3 0.3 1 0.3 0.0164754897244 4.0 0.0 0.42 22.0 right 1 38.3358659744 38.7598631382 39.1719009876 39.998431921
6 0.3 0.3 1 0.3 0.0164754897244 4.0 0.6 0.42 22.0 right 1 40.0316960812 40.4556100368 40.8678209782 41.753262043
7 0.3 0.3 1 0.3 0.2 4.0 0.8 0.42 22.0 right 1 41.7862560749 42.2101891041 42.6223750114 43.6371610165
8 0.3 0.3 1 0.3 0.2 4.0 0.8 0.42 90.0 right 1 43.6704549789 44.0943880081 44.5065050125 45.4389269352
9 0.3 0.3 -1 0.3 0.01 4.0 0.0 0.42 90.0 left 1 45.4722149372 45.896089077 46.3082280159 47.6411781311
10 0.3 0.3 1 0.3 0.0164754897244 4.0 0.0 0.42 90.0 left 0 47.6743059158 48.0983901024 48.5105659962 49.4312050343
11 0.3 0.3 -1 0.3 0.2 4.0 0.4 0.42 90.0 left 1 49.4642860889 49.8881859779 50.3004231453 51.0922780037
12 0.3 0.3 1 0.3 0.0736806299728 4.0 0.6 0.42 22.0 right 1 51.1246781349 51.5486321449 51.9607589245 52.7402980328
13 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.6 0.42 90.0 left 1 52.7733809948 53.1972739697 53.6094241142 54.6718099117
14 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.0 0.42 22.0 right 0 54.7046620846 55.1285009384 55.5406849384 56.7440979481
15 0.3 0.3 1 0.3 0.121392446201 4.0 0.6 0.42 90.0 right 1 56.7771100998 57.2010691166 57.6132490635 58.404624939
16 0.3 0.3 -1 0.3 0.04472135955 4.0 0.0 0.42 90.0 left 1 58.4494121075 58.873237133 59.2854409218 60.24132514
17 0.3 0.3 -1 0.3 0.2 4.0 0.6 0.42 22.0 left 1 60.2747049332 60.6985499859 61.1108031273 62.1962521076
18 0.3 0.3 1 0.3 0.0164754897244 4.0 0.8 0.42 90.0 left 0 62.2296829224 62.653427124 63.065746069 64.2924101353
19 0.3 0.3 1 0.3 0.01 4.0 0.2 0.42 22.0 left 0 64.3257069588 64.7497270107 65.1618919373 66.1180770397
20 0.3 0.3 1 0.3 0.121392446201 4.0 0.2 0.42 22.0 right 1 66.1511211395 66.5749020576 66.9871449471 67.766356945
21 0.3 0.3 1 0.3 0.01 4.0 0.2 0.42 90.0 right 1 67.7996399403 68.2236421108 68.6357500553 69.6035060883
22 0.3 0.3 1 0.3 0.0736806299728 4.0 0.4 0.42 90.0 right 1 69.6365909576 70.0607459545 70.4729020596 71.311052084
23 0.3 0.3 -1 0.3 0.121392446201 4.0 0.0 0.42 90.0 left 1 71.3442411423 71.7681241035 72.1803209782 72.9948611259
24 0.3 0.3 1 0.3 0.01 4.0 0.8 0.42 90.0 left 0 73.0281860828 73.4520549774 73.8642439842 74.9028949738
25 0.3 0.3 1 0.3 0.0736806299728 4.0 0.6 0.42 90.0 right 1 74.9359660149 75.3597919941 75.7720029354 76.5749869347
26 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.2 0.42 90.0 left 1 76.6082179546 77.0321009159 77.4441759586 78.3176519871
27 0.3 0.3 -1 0.3 0.04472135955 4.0 0.2 0.42 90.0 left 1 78.3508889675 78.7748830318 79.1869931221 80.0490801334
28 0.3 0.3 -1 0.3 0.121392446201 4.0 0.8 0.42 22.0 left 1 80.0819721222 80.5060601234 80.9182429314 81.7446501255
29 0.3 0.3 1 0.3 0.04472135955 4.0 0.8 0.42 22.0 right 1 81.7778420448 82.2017319202 82.614000082 83.4404139519
30 0.3 0.3 1 0.3 0.0736806299728 4.0 0.8 0.42 90.0 right 1 83.4735469818 83.8974161148 84.3096020222 85.1713480949
31 0.3 0.3 1 0.3 0.0736806299728 4.0 0.4 0.42 22.0 right 1 85.2046649456 85.6285760403 86.0407450199 86.879034996
32 0.3 0.3 -1 0.3 0.121392446201 4.0 0.2 0.42 90.0 left 1 86.9122900963 87.3361530304 87.7484591007 88.5864729881
33 0.3 0.3 -1 0.3 0.04472135955 4.0 0.4 0.42 90.0 left 1 88.619590044 89.0435459614 89.455698967 90.3173179626
34 0.3 0.3 1 0.3 0.0271441761659 4.0 0.4 0.42 22.0 right 1 90.350741148 90.7746369839 91.1868641376 92.1189889908
35 0.3 0.3 1 0.3 0.0736806299728 4.0 0.8 0.42 22.0 right 1 92.1524789333 92.5765299797 92.9885890484 93.9327290058
36 0.3 0.3 1 0.3 0.2 4.0 0.6 0.42 90.0 right 1 93.9659609795 94.3899259567 94.8021299839 95.7228279114
37 0.3 0.3 -1 0.3 0.04472135955 4.0 0.2 0.42 22.0 left 1 95.7560169697 96.1800689697 96.5920350552 97.5127971172
38 0.3 0.3 -1 0.3 0.01 4.0 0.6 0.42 90.0 left 1 97.5458660126 97.9699831009 98.3820941448 99.5501840115
39 0.3 0.3 1 0.3 0.0271441761659 4.0 0.0 0.42 22.0 right 1 99.5831620693 100.007148981 100.419235945 101.316268921
40 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.2 0.42 90.0 left 1 101.349597931 101.773492098 102.185640097 103.000160933
41 0.3 0.3 1 0.3 0.121392446201 4.0 0.0 0.42 22.0 right 1 103.033579111 103.457458019 103.869656086 104.590436935
42 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.8 0.42 90.0 left 1 104.623392105 105.04729414 105.459379911 106.68639493
43 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.4 0.42 90.0 left 1 106.719437122 107.143429995 107.555556059 108.65290904
44 0.3 0.3 1 0.3 0.04472135955 4.0 0.8 0.42 90.0 right 1 108.686147928 109.110084057 109.522221088 110.325688124
45 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.6 0.42 22.0 left 1 110.35831213 110.7822721 111.194427967 111.973766088
46 0.3 0.3 1 0.3 0.01 4.0 0.4 0.42 22.0 left 0 112.006978989 112.430840015 112.843055964 114.234628916
47 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.6 0.42 90.0 left 1 114.26800704 114.691869974 115.104025126 115.989233017
48 0.3 0.3 1 0.3 0.0271441761659 4.0 0.6 0.42 22.0 right 1 116.022695065 116.446507931 116.858865976 117.708728075
49 0.3 0.3 -1 0.3 0.2 4.0 0.0 0.42 90.0 left 1 117.741904974 118.165908098 118.578072071 119.439716101
50 0.3 0.3 1 0.3 0.0271441761659 4.0 0.8 0.42 90.0 left 0 119.472911119 119.896836996 120.309047937 121.594942093
51 0.3 0.3 -1 0.3 0.01 4.0 0.0 0.42 22.0 left 1 121.639734983 122.063813925 122.475836039 123.467386007
52 0.3 0.3 -1 0.3 0.01 4.0 0.2 0.42 22.0 right 0 123.500514984 123.924258947 124.336544037 125.221669912
53 0.3 0.3 -1 0.3 0.121392446201 4.0 0.2 0.42 22.0 left 1 125.255125046 125.679086924 126.091059923 126.964729071
54 0.3 0.3 1 0.3 0.0164754897244 4.0 0.8 0.42 22.0 right 1 126.997884035 127.421796083 127.833930016 128.660380125
55 0.3 0.3 1 0.3 0.121392446201 4.0 0.8 0.42 90.0 right 1 128.693576097 129.11749506 129.529658079 130.344341993
56 0.3 0.3 1 0.3 0.0271441761659 4.0 0.4 0.42 90.0 left 0 130.37759304 130.801444054 131.213783026 132.805485964
57 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.8 0.42 90.0 left 1 132.838716984 133.262676954 133.674919128 134.524698019
58 0.3 0.3 1 0.3 0.0736806299728 4.0 0.2 0.42 22.0 right 1 134.558151007 134.982021093 135.394228935 136.138549089
59 0.3 0.3 1 0.3 0.0164754897244 4.0 0.2 0.42 22.0 right 1 136.183198929 136.607249975 137.019320011 138.010514021
60 0.3 0.3 1 0.3 0.2 4.0 0.2 0.42 22.0 right 1 138.043859005 138.467809916 138.879923105 139.788722992
61 0.3 0.3 -1 0.3 0.2 4.0 0.8 0.42 90.0 left 1 139.821946144 140.246016979 140.658090115 141.920239925
62 0.3 0.3 -1 0.3 0.04472135955 4.0 0.8 0.42 90.0 left 1 141.953469038 142.377469063 142.789597988 144.004631042
63 0.3 0.3 1 0.3 0.04472135955 4.0 0.4 0.42 90.0 right 1 144.03801012 144.461833954 144.87390995 145.829777002
64 0.3 0.3 1 0.3 0.04472135955 4.0 0.4 0.42 22.0 right 1 145.863124132 146.287153006 146.69928813 147.714323044
65 0.3 0.3 1 0.3 0.2 4.0 0.4 0.42 22.0 right 1 147.759114981 148.182980061 148.595085144 149.610031128
66 0.3 0.3 1 0.3 0.121392446201 4.0 0.2 0.42 90.0 right 1 149.643157959 150.067080021 150.479223013 151.317533016
67 0.3 0.3 -1 0.3 0.121392446201 4.0 0.4 0.42 90.0 left 1 151.350705147 151.774830103 152.186834097 153.154583931
68 0.3 0.3 -1 0.3 0.01 4.0 0.4 0.42 90.0 right 0 153.187782049 153.611810923 154.024013996 155.686500072
69 0.3 0.3 -1 0.3 0.2 4.0 0.6 0.42 90.0 left 1 155.719735146 156.143553972 156.55591011 157.324211121
70 0.3 0.3 1 0.3 0.04472135955 4.0 0.6 0.42 90.0 right 1 157.356657982 157.780499935 158.192651987 159.019271135
71 0.3 0.3 -1 0.3 0.121392446201 4.0 0.6 0.42 90.0 left 1 159.05232811 159.476339102 159.888371944 160.597167969
72 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.6 0.42 22.0 left 1 160.630406141 161.054153919 161.466521978 162.469464064
73 0.3 0.3 1 0.3 0.0164754897244 4.0 0.4 0.42 22.0 right 1 162.502619982 162.926629066 163.338979006 164.259386063
74 0.3 0.3 1 0.3 0.2 4.0 0.2 0.42 90.0 right 1 164.292575121 164.716604948 165.128895044 166.014076948
75 0.3 0.3 1 0.3 0.0164754897244 4.0 0.6 0.42 90.0 left 0 166.047317982 166.471174955 166.883388042 167.803906918
76 0.3 0.3 1 0.3 0.0271441761659 4.0 0.2 0.42 90.0 right 1 167.837260962 168.261322021 168.673296928 169.641380072
77 0.3 0.3 -1 0.3 0.01 4.0 0.2 0.42 90.0 right 0 169.686171055 170.110182047 170.522198915 171.890217066
78 0.3 0.3 1 0.3 0.121392446201 4.0 0.4 0.42 90.0 right 1 171.923493147 172.347425938 172.759762049 173.527280092
79 0.3 0.3 -1 0.3 0.01 4.0 0.8 0.42 90.0 left 1 173.560392141 173.984334946 174.396570921 175.329292059
80 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.2 0.42 22.0 left 1 175.373867989 175.79777813 176.20996213 177.048490047
81 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.4 0.42 90.0 left 1 177.081609011 177.505392075 177.917665958 178.897478104
82 0.3 0.3 1 0.3 0.01 4.0 0.4 0.42 90.0 left 0 178.942104101 179.366109133 179.778234959 180.946088076
83 0.3 0.3 -1 0.3 0.04472135955 4.0 0.6 0.42 22.0 left 1 180.979438066 181.403146029 181.815331936 182.641865969
84 0.3 0.3 -1 0.3 0.01 4.0 0.6 0.42 22.0 right 0 182.675195932 183.099061966 183.511194944 184.53777504
