trial durationPreFixation durationFixation direction durationGrating duration speed phaseIni contrast size response correct time_onset time_fixation time_stimulus time_response
1 0.3 0.3 1 0.3 0.121392446201 4.0 0.8 0.42 22.0 right 1 28.8826029301 29.3062880039 29.718462944 30.8491508961
2 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.6 0.42 90.0 left 1 30.8842499256 31.3081438541 31.7203309536 32.7587089539
3 0.3 0.3 1 0.3 0.0271441761659 4.0 0.4 0.42 22.0 right 1 32.7919869423 33.2158520222 33.6280219555 34.6076829433
4 0.3 0.3 1 0.3 0.121392446201 4.0 0.0 0.42 22.0 right 1 34.6408190727 35.0646839142 35.4768788815 37.021337986
5 0.3 0.3 1 0.3 0.04472135955 4.0 0.0 0.42 90.0 right 1 37.054956913 37.4788410664 37.891053915 39.0235409737
6 0.3 0.3 -1 0.3 0.01 4.0 0.2 0.42 22.0 right 0 39.0567269325 39.4806549549 39.8928570747 40.9310929775
7 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.8 0.42 22.0 left 1 40.964496851 41.3885340691 41.800716877 42.9800539017
8 0.3 0.3 1 0.3 0.0736806299728 4.0 0.6 0.42 90.0 right 1 43.0136089325 43.4374768734 43.8497428894 45.0527570248
9 0.3 0.3 1 0.3 0.121392446201 4.0 0.0 0.42 90.0 right 1 45.0861759186 45.5101280212 45.9223098755 47.3964278698
10 0.3 0.3 -1 0.3 0.04472135955 4.0 0.4 0.42 22.0 left 1 47.4295220375 47.8534090519 48.2656710148 49.3982069492
11 0.3 0.3 -1 0.3 0.04472135955 4.0 0.8 0.42 90.0 left 1 49.431511879 49.8553988934 50.2675700188 51.6118299961
12 0.3 0.3 -1 0.3 0.01 4.0 0.8 0.42 90.0 left 1 51.6454560757 52.0693950653 52.4815089703 53.5553309917
13 0.3 0.3 1 0.3 0.0164754897244 4.0 0.8 0.42 22.0 left 0 53.6001598835 54.0240859985 54.4361510277 56.5343549252
14 0.3 0.3 -1 0.3 0.121392446201 4.0 0.0 0.42 90.0 left 1 56.5676710606 56.991754055 57.4038619995 58.5952630043
15 0.3 0.3 1 0.3 0.0736806299728 4.0 0.0 0.42 22.0 right 1 58.6403889656 59.0643219948 59.4764900208 60.620871067
16 0.3 0.3 -1 0.3 0.2 4.0 0.6 0.42 22.0 left 1 60.6539769173 61.0779359341 61.4901590347 62.5989370346
17 0.3 0.3 -1 0.3 0.121392446201 4.0 0.4 0.42 90.0 left 1 62.6322519779 63.0561919212 63.4684488773 64.5894620419
18 0.3 0.3 -1 0.3 0.04472135955 4.0 0.6 0.42 22.0 left 1 64.6224880219 65.0465450287 65.4589250088 66.4851200581
19 0.3 0.3 -1 0.3 0.121392446201 4.0 0.4 0.42 22.0 left 1 66.5183558464 66.9423699379 67.35450387 68.357724905
20 0.3 0.3 1 0.3 0.121392446201 4.0 0.2 0.42 22.0 right 1 68.3909339905 68.8147010803 69.2270200253 70.230150938
21 0.3 0.3 -1 0.3 0.2 4.0 0.0 0.42 22.0 left 1 70.2632579803 70.6871700287 71.0992529392 72.0551390648
22 0.3 0.3 1 0.3 0.121392446201 4.0 0.6 0.42 90.0 right 1 72.0886099339 72.5125949383 72.9246919155 73.9629240036
23 0.3 0.3 -1 0.3 0.04472135955 4.0 0.6 0.42 90.0 left 1 73.9962520599 74.4202148914 74.8324000835 75.7297039032
24 0.3 0.3 1 0.3 0.04472135955 4.0 0.2 0.42 90.0 right 1 75.762652874 76.1866948605 76.598749876 78.0259399414
25 0.3 0.3 1 0.3 0.04472135955 4.0 0.4 0.42 90.0 right 1 78.0590920448 78.4828970432 78.8949990273 79.9099619389
26 0.3 0.3 -1 0.3 0.01 4.0 0.8 0.42 22.0 right 0 79.9431459904 80.367069006 80.7791960239 81.9709639549
27 0.3 0.3 1 0.3 0.121392446201 4.0 0.8 0.42 90.0 right 1 82.015640974 82.4396948814 82.8517930508 83.9723799229
28 0.3 0.3 1 0.3 0.0271441761659 4.0 0.2 0.42 22.0 left 0 84.0058948994 84.4299409389 84.8420679569 86.2101140022
29 0.3 0.3 1 0.3 0.01 4.0 0.8 0.42 90.0 left 0 86.2433149815 86.6673378944 87.0794069767 88.188174963
30 0.3 0.3 -1 0.3 0.04472135955 4.0 0.2 0.42 90.0 left 1 88.2216918468 88.645583868 89.0577828884 90.2729010582
31 0.3 0.3 1 0.3 0.0164754897244 4.0 0.8 0.42 90.0 right 1 90.3061819077 90.7300238609 91.1421978474 92.1921820641
32 0.3 0.3 1 0.3 0.04472135955 4.0 0.6 0.42 90.0 right 1 92.2256228924 92.6495580673 93.0617358685 94.547287941
33 0.3 0.3 -1 0.3 0.04472135955 4.0 0.2 0.42 22.0 left 1 94.5806939602 95.004762888 95.4169239998 96.5964970589
34 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.2 0.42 22.0 right 0 96.6297659874 97.0535809994 97.4659059048 98.4925320148
35 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.4 0.42 22.0 left 1 98.5258688927 98.9497339725 99.3618619442 100.565244913
36 0.3 0.3 1 0.3 0.0736806299728 4.0 0.2 0.42 22.0 right 1 100.598237038 101.022172928 101.434381962 103.061460972
37 0.3 0.3 1 0.3 0.121392446201 4.0 0.4 0.42 22.0 right 1 103.094861984 103.518720865 103.930887938 105.464082956
38 0.3 0.3 1 0.3 0.2 4.0 0.6 0.42 90.0 right 1 105.497205973 105.921045065 106.333343983 107.418259859
39 0.3 0.3 -1 0.3 0.04472135955 4.0 0.0 0.42 90.0 left 1 107.45193696 107.875833035 108.288048029 109.373673916
40 0.3 0.3 -1 0.3 0.2 4.0 0.4 0.42 90.0 left 1 109.406843901 109.830796957 110.242861986 112.128978968
41 0.3 0.3 1 0.3 0.2 4.0 0.8 0.42 22.0 right 1 112.162296057 112.586307049 112.998447895 114.142883062
42 0.3 0.3 1 0.3 0.2 4.0 0.0 0.42 22.0 right 1 114.176078081 114.599994898 115.012172937 116.415452957
43 0.3 0.3 -1 0.3 0.121392446201 4.0 0.6 0.42 90.0 left 1 116.448890924 116.872875929 117.284970999 118.582581997
44 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.8 0.42 90.0 right 0 118.615731001 119.039546013 119.451751947 120.655175924
45 0.3 0.3 1 0.3 0.04472135955 4.0 0.0 0.42 22.0 right 1 120.688313007 121.112148046 121.524318933 122.621366024
46 0.3 0.3 1 0.3 0.0271441761659 4.0 0.4 0.42 90.0 left 0 122.654854059 123.078724861 123.490840912 125.212316036
47 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.4 0.42 90.0 right 0 125.245508909 125.669416904 126.081592083 129.946501017
48 0.3 0.3 1 0.3 0.0271441761659 4.0 0.6 0.42 90.0 right 1 129.97950387 130.403403997 130.815633059 131.818412066
49 0.3 0.3 1 0.3 0.0164754897244 4.0 0.4 0.42 22.0 right 1 131.851857901 132.27588892 132.688055992 133.702666044
50 0.3 0.3 -1 0.3 0.01 4.0 0.2 0.42 90.0 right 0 133.736129045 134.160018921 134.572180033 135.586673021
51 0.3 0.3 -1 0.3 0.121392446201 4.0 0.0 0.42 22.0 left 1 135.620110035 136.044122934 136.456326962 137.459117889
52 0.3 0.3 1 0.3 0.0736806299728 4.0 0.2 0.42 90.0 right 1 137.492681026 137.916569948 138.328607082 139.343414068
53 0.3 0.3 -1 0.3 0.01 4.0 0.6 0.42 22.0 left 1 139.376847982 139.800808907 140.212983847 141.34533906
54 0.3 0.3 1 0.3 0.0164754897244 4.0 0.2 0.42 22.0 left 0 141.378643036 141.802712917 142.214851856 143.123456001
55 0.3 0.3 1 0.3 0.121392446201 4.0 0.2 0.42 90.0 right 1 143.156892061 143.580771923 143.993020058 145.125634909
