Experiment   Time   Size   InitialPhase   Duration   Contrast   Direction   Frequency   Speed   FixationTime   Answer   Correct   
1   0.983333   1   216   0.2   0.42   -1   1   4   0.3   left   1   
2   0.916666   1   144   0.01648   0.42   1   1   4   0.3   right   1   
3   1.01667   1   72   0.04472   0.42   1   1   4   0.3   right   1   
4   0.933333   1   72   0.027144   0.42   -1   1   4   0.3   left   1   
5   1.3   4   0   0.027144   0.42   1   1   4   0.3   right   1   
6   0.916666   1   0   0.027144   0.42   -1   1   4   0.3   left   1   
7   0.816667   1   72   0.12139   0.42   1   1   4   0.3   right   1   
8   1.06667   4   72   0.027144   0.42   1   1   4   0.3   right   1   
9   0.95   1   288   0.12139   0.42   1   1   4   0.3   right   1   
10   1.23333   1   72   0.027144   0.42   1   1   4   0.3   right   1   
11   1.13333   1   0   0.07368   0.42   1   1   4   0.3   right   1   
12   0.9   1   216   0.2   0.42   1   1   4   0.3   right   1   
13   1.4   4   288   0.2   0.42   -1   1   4   0.3   left   1   
14   0.816667   1   216   0.04472   0.42   1   1   4   0.3   right   1   
15   0.883333   4   216   0.07368   0.42   1   1   4   0.3   left   0   
16   0.95   4   72   0.07368   0.42   1   1   4   0.3   right   1   
17   1.1   1   288   0.01   0.42   1   1   4   0.308333   right   1   
18   1.05   4   72   0.01   0.42   1   1   4   0.308333   left   0   
19   1.0   1   144   0.01   0.42   1   1   4   0.308333   left   0   
20   0.95   4   72   0.04472   0.42   -1   1   4   0.3   right   0   
21   0.933333   4   216   0.01   0.42   1   1   4   0.308333   left   0   
22   0.85   4   288   0.01648   0.42   1   1   4   0.3   right   1   
23   1.0   4   288   0.04472   0.42   -1   1   4   0.3   right   0   
24   1.63333   4   144   0.2   0.42   1   1   4   0.3   left   0   
25   1.5   1   144   0.01   0.42   -1   1   4   0.308333   left   1   
26   0.916666   1   0   0.04472   0.42   -1   1   4   0.3   left   1   
27   0.916666   4   72   0.12139   0.42   1   1   4   0.3   right   1   
28   0.95   4   72   0.04472   0.42   1   1   4   0.3   left   0   
29   1.05   1   288   0.01648   0.42   -1   1   4   0.3   right   0   
30   0.883333   1   72   0.2   0.42   -1   1   4   0.3   left   1   
31   0.85   1   144   0.2   0.42   1   1   4   0.3   right   1   
32   0.9   1   216   0.12139   0.42   1   1   4   0.3   right   1   
33   0.85   1   72   0.07368   0.42   1   1   4   0.3   right   1   
34   1.05   1   216   0.01648   0.42   -1   1   4   0.3   right   0   
35   0.95   1   72   0.07368   0.42   -1   1   4   0.3   left   1   
36   0.95   1   0   0.01   0.42   -1   1   4   0.308333   right   0   
37   1.01667   4   144   0.01648   0.42   -1   1   4   0.3   right   0   
38   0.833333   1   144   0.12139   0.42   -1   1   4   0.3   left   1   
39   0.916666   4   72   0.07368   0.42   -1   1   4   0.3   right   0   
40   1.03333   4   0   0.01   0.42   -1   1   4   0.308333   right   0   
41   1.55   1   0   0.01648   0.42   1   1   4   0.3   right   1   
42   1.28333   1   0   0.04472   0.42   1   1   4   0.3   right   1   
43   0.966666   4   144   0.04472   0.42   1   1   4   0.3   left   0   
44   0.916666   1   288   0.12139   0.42   -1   1   4   0.3   left   1   
45   0.9   4   72   0.2   0.42   -1   1   4   0.3   left   1   
46   1.01667   4   216   0.04472   0.42   -1   1   4   0.3   left   1   
47   0.883333   1   144   0.04472   0.42   -1   1   4   0.3   left   1   
48   0.883333   4   144   0.027144   0.42   1   1   4   0.3   left   0   
49   0.883333   4   288   0.04472   0.42   1   1   4   0.3   left   0   
50   1.06667   4   0   0.12139   0.42   1   1   4   0.3   left   0   
51   0.833333   4   144   0.04472   0.42   -1   1   4   0.3   right   0   
52   0.916666   1   216   0.01   0.42   -1   1   4   0.308333   left   1   
53   1.26667   1   0   0.2   0.42   -1   1   4   0.3   left   1   
54   0.9   4   288   0.027144   0.42   1   1   4   0.3   left   0   
55   0.833333   1   144   0.027144   0.42   -1   1   4   0.3   left   1   
56   0.85   1   72   0.01   0.42   -1   1   4   0.308333   left   1   
57   0.916666   1   144   0.07368   0.42   1   1   4   0.3   right   1   
58   0.983333   4   288   0.01648   0.42   -1   1   4   0.3   left   1   
59   0.85   4   0   0.04472   0.42   1   1   4   0.3   right   1   
60   0.816667   4   0   0.04472   0.42   -1   1   4   0.3   left   1   
61   1.25   4   72   0.01   0.42   -1   1   4   0.308333   right   0   
62   1.05   4   0   0.01648   0.42   -1   1   4   0.3   right   0   
63   0.95   1   0   0.12139   0.42   1   1   4   0.3   right   1   
64   1.15   4   288   0.12139   0.42   1   1   4   0.3   right   1   
65   0.9   1   216   0.04472   0.42   -1   1   4   0.3   left   1   
66   0.866666   4   144   0.027144   0.42   -1   1   4   0.3   right   0   
67   1.01667   1   216   0.01   0.42   1   1   4   0.308333   right   1   
68   0.916666   4   0   0.12139   0.42   -1   1   4   0.3   left   1   
69   0.883333   1   72   0.01   0.42   1   1   4   0.308333   right   1   
70   1.08333   1   288   0.01   0.42   -1   1   4   0.308333   left   1   
71   0.95   1   72   0.2   0.42   1   1   4   0.3   right   1   
72   0.783333   1   0   0.12139   0.42   -1   1   4   0.3   left   1   
73   1.05   4   216   0.2   0.42   -1   1   4   0.3   left   1   
74   0.85   4   0   0.07368   0.42   1   1   4   0.3   right   1   
75   0.883333   1   0   0.01648   0.42   -1   1   4   0.3   left   1   
76   0.866666   1   72   0.04472   0.42   -1   1   4   0.3   left   1   
77   0.983333   4   72   0.01648   0.42   1   1   4   0.3   right   1   
78   0.783333   4   0   0.07368   0.42   -1   1   4   0.3   left   1   
79   1.18333   4   0   0.2   0.42   -1   1   4   0.3   left   1   
80   0.866666   1   144   0.027144   0.42   1   1   4   0.3   right   1   
81   0.816667   1   288   0.07368   0.42   -1   1   4   0.3   left   1   
82   0.833333   4   0   0.2   0.42   1   1   4   0.3   right   1   
83   0.783333   4   144   0.07368   0.42   -1   1   4   0.3   left   1   
84   0.783333   1   0   0.07368   0.42   -1   1   4   0.3   left   1   
85   1.01667   4   216   0.027144   0.42   -1   1   4   0.3   right   0   
86   0.816667   4   288   0.07368   0.42   -1   1   4   0.3   left   1   
87   0.8   1   216   0.027144   0.42   -1   1   4   0.3   left   1   
88   0.85   4   288   0.07368   0.42   1   1   4   0.3   right   1   
89   0.816667   1   0   0.2   0.42   1   1   4   0.3   right   1   
90   0.833333   1   288   0.01648   0.42   1   1   4   0.3   left   0   
91   0.783333   1   144   0.04472   0.42   1   1   4   0.3   right   1   
92   1.05   4   0   0.01   0.42   1   1   4   0.308333   left   0   
93   1.51667   4   288   0.01   0.42   1   1   4   0.308333   right   1   
94   1.03333   4   72   0.01648   0.42   -1   1   4   0.3   right   0   
95   0.966666   4   288   0.01   0.42   -1   1   4   0.308333   right   0   
96   1.05   4   144   0.01   0.42   -1   1   4   0.308333   right   0   
97   1.01667   1   72   0.01648   0.42   -1   1   4   0.3   left   1   
98   0.9   4   216   0.027144   0.42   1   1   4   0.3   left   0   
99   1.03333   4   216   0.2   0.42   1   1   4   0.3   right   1   
100   0.816667   1   144   0.07368   0.42   -1   1   4   0.3   left   1   
101   1.63333   4   288   0.2   0.42   1   1   4   0.3   right   1   
102   1.0   4   216   0.01   0.42   -1   1   4   0.308333   right   0   
103   1.01667   4   144   0.2   0.42   -1   1   4   0.3   left   1   
104   0.866666   1   288   0.2   0.42   -1   1   4   0.3   left   1   
105   0.783333   1   288   0.2   0.42   1   1   4   0.3   right   1   
106   0.766667   4   72   0.2   0.42   1   1   4   0.3   right   1   
107   0.783333   4   216   0.12139   0.42   -1   1   4   0.3   left   1   
108   0.783333   4   0   0.027144   0.42   -1   1   4   0.3   right   0   
109   0.816667   4   144   0.01648   0.42   1   1   4   0.3   left   0   
110   0.783333   4   216   0.07368   0.42   -1   1   4   0.3   right   0   
111   0.716667   4   0   0.01648   0.42   1   1   4   0.3   left   0   
112   0.733333   1   216   0.027144   0.42   1   1   4   0.3   right   1   
113   0.716667   4   216   0.01648   0.42   1   1   4   0.3   left   0   
114   0.683333   1   288   0.027144   0.42   1   1   4   0.3   right   1   
115   0.666667   1   288   0.07368   0.42   1   1   4   0.3   left   0   
116   0.916666   1   144   0.01648   0.42   -1   1   4   0.3   left   1   
117   0.95   4   288   0.027144   0.42   -1   1   4   0.3   left   1   
118   0.85   1   144   0.2   0.42   -1   1   4   0.3   left   1   
119   0.85   4   216   0.04472   0.42   1   1   4   0.3   right   1   
120   0.816667   1   72   0.01648   0.42   1   1   4   0.3   left   0   
121   0.883333   1   288   0.027144   0.42   -1   1   4   0.3   right   0   
122   1.01667   4   144   0.12139   0.42   -1   1   4   0.3   left   1   
123   0.9   4   216   0.12139   0.42   1   1   4   0.3   right   1   
124   0.766667   4   288   0.12139   0.42   -1   1   4   0.3   left   1   
125   0.833333   1   216   0.01648   0.42   1   1   4   0.3   right   1   
126   0.816667   1   216   0.07368   0.42   1   1   4   0.3   right   1   
127   0.766667   1   0   0.027144   0.42   1   1   4   0.3   right   1   
128   0.8   1   288   0.04472   0.42   -1   1   4   0.3   left   1   
129   0.733333   1   288   0.04472   0.42   1   1   4   0.3   right   1   
130   1.0   4   144   0.12139   0.42   1   1   4   0.3   right   1   
131   0.716667   1   216   0.07368   0.42   -1   1   4   0.3   left   1   
132   0.8   4   144   0.07368   0.42   1   1   4   0.3   right   1   
133   0.766667   1   72   0.12139   0.42   -1   1   4   0.3   left   1   
134   0.85   1   0   0.01   0.42   1   1   4   0.308333   right   1   
135   0.933333   4   72   0.027144   0.42   -1   1   4   0.3   left   1   
136   0.833333   1   216   0.12139   0.42   -1   1   4   0.3   left   1   
137   0.833333   4   72   0.12139   0.42   -1   1   4   0.3   left   1   
138   0.95   4   216   0.01648   0.42   -1   1   4   0.3   left   1   
139   0.85   1   144   0.12139   0.42   1   1   4   0.3   right   1   
140   0.85   4   144   0.01   0.42   1   1   4   0.308333   right   1   
141   1.31667   4   288   0.04472   0.42   1   1   4   0.3   left   0   
142   1.21667   1   72   0.01648   0.42   1   1   4   0.3   left   0   
143   0.833333   1   288   0.2   0.42   1   1   4   0.3   right   1   
144   0.8   4   0   0.2   0.42   -1   1   4   0.3   left   1   
145   0.883333   1   72   0.01   0.42   1   1   4   0.308333   right   1   
146   0.8   1   288   0.04472   0.42   -1   1   4   0.3   left   1   
147   0.966666   4   0   0.07368   0.42   -1   1   4   0.3   left   1   
148   0.8   1   72   0.07368   0.42   1   1   4   0.3   right   1   
149   0.816667   4   216   0.01   0.42   1   1   4   0.308333   left   0   
150   1.23333   4   144   0.12139   0.42   -1   1   4   0.3   left   1   
151   2.26667   4   216   0.04472   0.42   1   1   4   0.3   right   1   
152   1.05   4   216   0.12139   0.42   -1   1   4   0.3   left   1   
153   0.883333   1   288   0.027144   0.42   1   1   4   0.3   right   1   
154   0.9   4   216   0.027144   0.42   1   1   4   0.3   left   0   
155   1.03333   1   216   0.01648   0.42   -1   1   4   0.3   right   0   
156   1.46667   4   288   0.01   0.42   -1   1   4   0.308333   left   1   
157   1.73333   4   144   0.027144   0.42   1   1   4   0.3   left   0   
158   0.966666   1   144   0.12139   0.42   -1   1   4   0.3   left   1   
159   0.916666   1   288   0.04472   0.42   1   1   4   0.3   right   1   
160   1.03333   1   216   0.01648   0.42   1   1   4   0.3   right   1   
161   2.66666   4   144   0.04472   0.42   -1   1   4   0.3   right   0   
162   1.01667   4   72   0.01   0.42   1   1   4   0.308333   left   0   
163   1.38333   4   72   0.07368   0.42   1   1   4   0.3   left   0   
164   0.933333   4   72   0.2   0.42   1   1   4   0.3   right   1   
165   0.833333   1   216   0.2   0.42   -1   1   4   0.3   left   1   
166   0.883333   4   216   0.04472   0.42   -1   1   4   0.3   right   0   
167   0.833333   4   216   0.2   0.42   -1   1   4   0.3   left   1   
168   1.46667   1   72   0.027144   0.42   -1   1   4   0.3   left   1   
169   1.23333   1   288   0.01   0.42   -1   1   4   0.308333   left   1   
170   1.03333   1   144   0.01648   0.42   1   1   4   0.3   right   1   
171   0.9   1   288   0.01648   0.42   1   1   4   0.3   right   1   
172   1.0   1   0   0.2   0.42   1   1   4   0.3   right   1   
173   1.31667   1   72   0.04472   0.42   -1   1   4   0.3   left   1   
174   1.21667   4   72   0.04472   0.42   -1   1   4   0.3   left   1   
175   0.916666   4   216   0.2   0.42   1   1   4   0.3   right   1   
176   0.85   4   144   0.2   0.42   -1   1   4   0.3   left   1   
177   0.866666   4   288   0.04472   0.42   -1   1   4   0.3   right   0   
178   0.916666   4   216   0.12139   0.42   1   1   4   0.3   right   1   
179   0.983333   4   216   0.07368   0.42   1   1   4   0.3   right   1   
180   0.95   1   216   0.027144   0.42   1   1   4   0.3   right   1   
181   0.833333   4   288   0.2   0.42   -1   1   4   0.3   left   1   
182   0.883333   4   288   0.027144   0.42   1   1   4   0.3   right   1   
183   0.916666   4   216   0.01648   0.42   1   1   4   0.3   left   0   
184   0.816667   1   144   0.07368   0.42   1   1   4   0.3   right   1   
185   0.833333   4   0   0.12139   0.42   1   1   4   0.3   right   1   
186   0.733333   1   144   0.07368   0.42   -1   1   4   0.3   left   1   
187   1.56667   4   288   0.07368   0.42   -1   1   4   0.3   left   1   
188   1.0   1   0   0.01648   0.42   1   1   4   0.3   right   1   
189   0.9   1   144   0.2   0.42   1   1   4   0.3   right   1   
190   0.883333   4   144   0.01   0.42   -1   1   4   0.308333   left   1   
191   1.65   4   0   0.027144   0.42   1   1   4   0.3   left   0   
192   0.883333   1   0   0.07368   0.42   1   1   4   0.3   right   1   
193   0.966666   4   144   0.01648   0.42   1   1   4   0.3   right   1   
194   0.883333   4   72   0.12139   0.42   1   1   4   0.3   right   1   
195   0.8   4   216   0.01648   0.42   -1   1   4   0.3   right   0   
196   0.833333   4   72   0.01648   0.42   1   1   4   0.3   right   1   
197   1.03333   1   72   0.01   0.42   -1   1   4   0.308333   left   1   
198   0.9   1   0   0.12139   0.42   -1   1   4   0.3   left   1   
199   0.85   1   144   0.12139   0.42   1   1   4   0.3   right   1   
200   1.63333   4   288   0.07368   0.42   1   1   4   0.3   left   0   
201   0.9   4   72   0.027144   0.42   1   1   4   0.3   right   1   
202   0.833333   4   288   0.027144   0.42   -1   1   4   0.3   right   0   
203   1.03333   1   288   0.01648   0.42   -1   1   4   0.3   left   1   
204   0.866666   1   288   0.12139   0.42   -1   1   4   0.3   left   1   
205   0.816667   4   0   0.2   0.42   1   1   4   0.3   right   1   
206   1.06667   4   288   0.01648   0.42   -1   1   4   0.3   right   0   
207   0.95   1   216   0.01   0.42   -1   1   4   0.308333   left   1   
208   0.85   1   72   0.2   0.42   1   1   4   0.3   right   1   
209   0.983333   1   0   0.01   0.42   -1   1   4   0.308333   left   1   
210   0.966666   1   144   0.01648   0.42   -1   1   4   0.3   left   1   
211   0.9   4   144   0.027144   0.42   -1   1   4   0.3   right   0   
212   1.25   4   288   0.01   0.42   1   1   4   0.308333   right   1   
213   0.866666   1   72   0.2   0.42   -1   1   4   0.3   left   1   
214   0.95   4   288   0.2   0.42   1   1   4   0.3   right   1   
215   1.41667   4   0   0.04472   0.42   1   1   4   0.3   left   0   
216   1.0   4   72   0.2   0.42   -1   1   4   0.3   left   1   
217   0.966666   4   72   0.12139   0.42   -1   1   4   0.3   left   1   
218   0.916666   1   144   0.01   0.42   -1   1   4   0.308333   right   0   
219   2.55   1   288   0.01   0.42   1   1   4   0.308333   left   0   
220   3.36666   4   72   0.07368   0.42   -1   1   4   0.3   left   1   
