Experiment   Time   Size   InitialPhase   Duration   Contrast   Direction   Frequency   Speed   FixationTime   Answer   Correct   
1   0.966666   1   144   0.01   0.42   1   1   4   0.308333   right   1   
2   0.8   4   288   0.07368   0.42   -1   1   4   0.3   left   1   
3   0.783333   1   288   0.12139   0.42   -1   1   4   0.3   left   1   
4   1.41667   4   288   0.01648   0.42   1   1   4   0.3   right   1   
5   0.816667   1   216   0.12139   0.42   -1   1   4   0.3   left   1   
6   0.816667   1   0   0.027144   0.42   1   1   4   0.3   right   1   
7   0.95   1   288   0.01648   0.42   1   1   4   0.3   right   1   
8   0.816667   4   144   0.12139   0.42   -1   1   4   0.3   left   1   
9   0.916666   4   144   0.07368   0.42   -1   1   4   0.3   left   1   
10   0.95   4   0   0.01   0.42   1   1   4   0.308333   left   0   
11   0.933333   1   144   0.027144   0.42   1   1   4   0.3   left   0   
12   0.95   4   216   0.2   0.42   1   1   4   0.3   right   1   
13   0.866666   4   0   0.2   0.42   -1   1   4   0.3   left   1   
14   1.2   1   144   0.027144   0.42   -1   1   4   0.3   right   0   
15   0.883333   4   0   0.01   0.42   -1   1   4   0.308333   right   0   
16   2.46667   4   0   0.12139   0.42   -1   1   4   0.3   left   1   
17   0.916666   4   144   0.01648   0.42   1   1   4   0.3   right   1   
18   0.85   1   72   0.04472   0.42   -1   1   4   0.3   left   1   
19   0.8   1   72   0.04472   0.42   1   1   4   0.3   right   1   
20   0.766667   1   216   0.027144   0.42   1   1   4   0.3   right   1   
21   0.866666   4   216   0.07368   0.42   1   1   4   0.3   right   1   
22   0.85   1   216   0.2   0.42   1   1   4   0.3   right   1   
23   0.816667   1   0   0.01648   0.42   -1   1   4   0.3   right   0   
24   0.816667   1   288   0.04472   0.42   -1   1   4   0.3   left   1   
25   0.8   1   0   0.07368   0.42   1   1   4   0.3   right   1   
26   1.25   4   288   0.12139   0.42   -1   1   4   0.3   right   0   
27   0.916666   4   72   0.01   0.42   1   1   4   0.308333   right   1   
28   0.9   4   0   0.04472   0.42   1   1   4   0.3   right   1   
29   3.45   1   72   0.01   0.42   1   1   4   0.308333   right   1   
30   0.833333   4   72   0.04472   0.42   -1   1   4   0.3   right   0   
31   0.8   1   72   0.07368   0.42   1   1   4   0.3   right   1   
32   0.866666   1   216   0.2   0.42   -1   1   4   0.3   left   1   
33   0.833333   1   0   0.04472   0.42   1   1   4   0.3   right   1   
34   0.783333   4   216   0.04472   0.42   1   1   4   0.3   right   1   
35   0.8   4   72   0.07368   0.42   1   1   4   0.3   right   1   
36   0.75   4   0   0.04472   0.42   -1   1   4   0.3   right   0   
37   0.783333   1   144   0.12139   0.42   1   1   4   0.3   right   1   
38   1.0   1   0   0.04472   0.42   -1   1   4   0.3   left   1   
39   0.766667   1   216   0.07368   0.42   -1   1   4   0.3   left   1   
40   0.85   4   0   0.027144   0.42   -1   1   4   0.3   left   1   
41   3.03333   4   144   0.2   0.42   -1   1   4   0.3   right   0   
42   0.95   4   144   0.01648   0.42   -1   1   4   0.3   right   0   
43   1.15   4   288   0.2   0.42   -1   1   4   0.3   right   0   
44   0.833333   1   72   0.2   0.42   1   1   4   0.3   right   1   
45   0.85   4   144   0.04472   0.42   1   1   4   0.3   right   1   
46   0.766667   4   144   0.04472   0.42   -1   1   4   0.3   right   0   
47   0.783333   1   144   0.12139   0.42   -1   1   4   0.3   left   1   
48   0.8   1   144   0.07368   0.42   -1   1   4   0.3   left   1   
49   0.866666   4   288   0.027144   0.42   1   1   4   0.3   left   0   
50   0.866666   1   144   0.2   0.42   -1   1   4   0.3   left   1   
51   0.85   1   72   0.027144   0.42   1   1   4   0.3   right   1   
52   1.7   4   0   0.01648   0.42   -1   1   4   0.3   right   0   
53   0.833333   1   288   0.01648   0.42   -1   1   4   0.3   right   0   
54   0.766667   4   72   0.07368   0.42   -1   1   4   0.3   right   0   
55   0.8   1   72   0.07368   0.42   -1   1   4   0.3   left   1   
56   1.65   4   72   0.12139   0.42   -1   1   4   0.3   left   1   
57   0.75   1   216   0.12139   0.42   1   1   4   0.3   right   1   
58   0.833333   1   288   0.01   0.42   1   1   4   0.308333   left   0   
59   0.733333   4   0   0.12139   0.42   1   1   4   0.3   right   1   
60   0.766667   1   288   0.07368   0.42   1   1   4   0.3   right   1   
61   0.9   4   216   0.027144   0.42   1   1   4   0.3   right   1   
62   0.733333   4   0   0.027144   0.42   1   1   4   0.3   right   1   
63   0.766667   1   0   0.027144   0.42   -1   1   4   0.3   right   0   
64   0.9   4   0   0.2   0.42   1   1   4   0.3   right   1   
65   0.766667   4   144   0.12139   0.42   1   1   4   0.3   right   1   
66   1.8   4   72   0.2   0.42   1   1   4   0.3   right   1   
67   0.75   4   72   0.01648   0.42   -1   1   4   0.3   right   0   
68   0.75   4   288   0.01   0.42   1   1   4   0.308333   right   1   
69   0.683333   4   288   0.01648   0.42   -1   1   4   0.3   right   0   
70   0.7   4   288   0.027144   0.42   -1   1   4   0.3   right   0   
71   0.816667   1   288   0.07368   0.42   -1   1   4   0.3   left   1   
72   0.75   4   72   0.04472   0.42   1   1   4   0.3   left   0   
73   0.716667   1   144   0.04472   0.42   -1   1   4   0.3   left   1   
74   0.75   1   144   0.01648   0.42   1   1   4   0.3   left   0   
75   0.75   4   216   0.01648   0.42   -1   1   4   0.3   left   1   
76   0.85   4   0   0.07368   0.42   1   1   4   0.3   left   0   
77   0.85   1   0   0.2   0.42   1   1   4   0.3   right   1   
78   0.733333   4   144   0.027144   0.42   1   1   4   0.3   right   1   
79   0.866666   1   216   0.01648   0.42   1   1   4   0.3   right   1   
80   0.75   1   216   0.01   0.42   1   1   4   0.308333   right   1   
81   0.833333   4   288   0.01   0.42   -1   1   4   0.308333   right   0   
82   0.75   4   216   0.04472   0.42   -1   1   4   0.3   right   0   
83   0.733333   1   72   0.01   0.42   -1   1   4   0.308333   right   0   
84   0.7   4   72   0.027144   0.42   -1   1   4   0.3   right   0   
85   0.683333   1   0   0.01   0.42   1   1   4   0.308333   right   1   
86   0.733333   1   72   0.12139   0.42   1   1   4   0.3   right   1   
87   0.85   1   0   0.01   0.42   -1   1   4   0.308333   left   1   
88   0.866666   1   288   0.027144   0.42   -1   1   4   0.3   left   1   
89   0.85   1   0   0.01648   0.42   1   1   4   0.3   left   0   
90   1.3   4   144   0.027144   0.42   -1   1   4   0.3   left   1   
91   0.833333   1   288   0.12139   0.42   1   1   4   0.3   right   1   
92   0.95   4   72   0.01   0.42   -1   1   4   0.308333   right   0   
93   0.783333   1   144   0.01   0.42   -1   1   4   0.308333   right   0   
94   1.0   1   0   0.2   0.42   -1   1   4   0.3   left   1   
95   0.833333   4   144   0.01   0.42   -1   1   4   0.308333   right   0   
96   0.8   4   216   0.027144   0.42   -1   1   4   0.3   right   0   
97   0.75   1   288   0.027144   0.42   1   1   4   0.3   right   1   
98   0.75   1   72   0.027144   0.42   -1   1   4   0.3   right   0   
99   0.8   4   144   0.07368   0.42   1   1   4   0.3   right   1   
100   0.816667   1   144   0.04472   0.42   1   1   4   0.3   right   1   
