trial durationPreFixation durationFixation direction durationGrating duration speed phaseIni contrast size response correct time_onset time_fixation time_stimulus time_response
1 0.3 0.3 1 0.3 0.04472135955 4.0 0.0 0.42 90.0 left 0 29.0733969212 29.3740530014 29.6665158272 30.416782856
2 0.3 0.3 -1 0.3 0.121392446201 4.0 0.6 0.42 22.0 left 1 30.435300827 30.7358999252 31.0283129215 31.6321258545
3 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.6 0.42 90.0 left 1 31.6549258232 31.9556889534 32.2480988503 32.8854417801
4 0.3 0.3 1 0.3 0.0271441761659 4.0 0.8 0.42 90.0 left 0 32.9081099033 33.2089698315 33.5014259815 34.1552457809
5 0.3 0.3 -1 0.3 0.04472135955 4.0 0.2 0.42 22.0 left 1 34.178044796 34.478894949 34.7714509964 35.6674869061
6 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.0 0.42 22.0 right 0 35.6903669834 35.9910969734 36.2836518288 37.0374639034
7 0.3 0.3 -1 0.3 0.01 4.0 0.8 0.42 90.0 left 1 37.0606558323 37.3612868786 37.653870821 38.5409948826
8 0.3 0.3 1 0.3 0.0271441761659 4.0 0.0 0.42 22.0 left 0 38.5644979477 38.8651177883 39.1575889587 39.8444979191
9 0.3 0.3 1 0.3 0.121392446201 4.0 0.4 0.42 22.0 right 1 39.867800951 40.1684789658 40.460862875 41.1314599514
10 0.3 0.3 1 0.3 0.0164754897244 4.0 0.8 0.42 90.0 right 1 41.1543228626 41.455275774 41.7476739883 42.651693821
11 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.2 0.42 22.0 left 1 42.6749508381 42.9756929874 43.2681457996 43.9551739693
12 0.3 0.3 1 0.3 0.2 4.0 0.8 0.42 90.0 left 0 43.9782838821 44.2792408466 44.5715038776 45.6514978409
13 0.3 0.3 1 0.3 0.01 4.0 0.4 0.42 90.0 left 0 45.674341917 45.9750669003 46.2675058842 47.3224937916
14 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.8 0.42 22.0 left 1 47.345291853 47.6460359097 47.938574791 48.7174098492
15 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.4 0.42 22.0 left 1 48.7406628132 49.0413517952 49.3337078094 50.0289139748
16 0.3 0.3 1 0.3 0.2 4.0 0.0 0.42 22.0 right 1 50.0523798466 50.3530797958 50.6454358101 51.1747198105
17 0.3 0.3 1 0.3 0.0271441761659 4.0 0.2 0.42 22.0 right 1 51.1967759132 51.497759819 51.790104866 52.7615029812
18 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.8 0.42 22.0 right 0 52.7842679024 53.0850968361 53.3775339127 54.123128891
19 0.3 0.3 1 0.3 0.0271441761659 4.0 0.4 0.42 90.0 left 0 54.1461069584 54.4468889236 54.7394108772 55.6100859642
20 0.3 0.3 1 0.3 0.121392446201 4.0 0.8 0.42 90.0 right 1 55.6333618164 55.9340159893 56.2263908386 57.1392598152
21 0.3 0.3 -1 0.3 0.01 4.0 0.0 0.42 90.0 left 1 57.1621229649 57.462982893 57.7552988529 58.7096238136
22 0.3 0.3 1 0.3 0.0164754897244 4.0 0.2 0.42 22.0 right 1 58.7328948975 59.0336139202 59.3260397911 60.1135509014
23 0.3 0.3 1 0.3 0.04472135955 4.0 0.8 0.42 22.0 right 1 60.136526823 60.437297821 60.7298548222 61.4755499363
24 0.3 0.3 1 0.3 0.0271441761659 4.0 0.4 0.42 22.0 left 0 61.5066168308 61.8074457645 62.0999507904 62.8790109158
25 0.3 0.3 1 0.3 0.121392446201 4.0 0.0 0.42 22.0 right 1 62.9018929005 63.202824831 63.495238781 64.2322728634
26 0.3 0.3 1 0.3 0.0736806299728 4.0 0.0 0.42 90.0 left 0 64.2554109097 64.5561778545 64.8487789631 65.9867990017
27 0.3 0.3 -1 0.3 0.121392446201 4.0 0.0 0.42 90.0 left 1 66.0099358559 66.3107039928 66.6030869484 67.900135994
28 0.3 0.3 -1 0.3 0.2 4.0 0.4 0.42 90.0 left 1 67.9231619835 68.2240989208 68.516479969 69.4455039501
29 0.3 0.3 1 0.3 0.0736806299728 4.0 0.6 0.42 90.0 left 0 69.468765974 69.7695069313 70.0619969368 70.9244987965
30 0.3 0.3 1 0.3 0.2 4.0 0.0 0.42 90.0 left 0 70.9475328922 71.2484087944 71.5408577919 72.6036138535
31 0.3 0.3 -1 0.3 0.01 4.0 0.6 0.42 22.0 right 0 72.6269958019 72.9278039932 73.2200629711 74.0075259209
32 0.3 0.3 1 0.3 0.04472135955 4.0 0.2 0.42 90.0 left 0 74.0305747986 74.3313179016 74.6238548756 75.5866308212
33 0.3 0.3 1 0.3 0.121392446201 4.0 0.6 0.42 90.0 left 0 75.6097409725 75.9102728367 76.202783823 77.0318319798
34 0.3 0.3 1 0.3 0.0271441761659 4.0 0.0 0.42 90.0 left 0 77.0550658703 77.3557188511 77.6481847763 78.6446578503
35 0.3 0.3 -1 0.3 0.01 4.0 0.6 0.42 90.0 left 1 78.6673898697 78.9683229923 79.2607319355 80.0147628784
36 0.3 0.3 1 0.3 0.0736806299728 4.0 0.2 0.42 90.0 left 0 80.0375847816 80.3385307789 80.6309409142 81.5600099564
37 0.3 0.3 1 0.3 0.0736806299728 4.0 0.4 0.42 90.0 left 0 81.583190918 81.8840808868 82.1764159203 82.8634147644
38 0.3 0.3 1 0.3 0.121392446201 4.0 0.6 0.42 22.0 right 1 82.8866288662 83.1873278618 83.4797129631 84.3256008625
39 0.3 0.3 1 0.3 0.0271441761659 4.0 0.2 0.42 90.0 left 0 84.3488268852 84.6494019032 84.9419028759 86.0133349895
40 0.3 0.3 1 0.3 0.04472135955 4.0 0.4 0.42 90.0 left 0 86.0363478661 86.3373129368 86.6295309067 87.4835338593
41 0.3 0.3 -1 0.3 0.04472135955 4.0 0.6 0.42 90.0 left 1 87.5067589283 87.8077178001 88.1000568867 88.9290018082
42 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.6 0.42 90.0 left 1 88.9523038864 89.2529149055 89.5454258919 90.266397953
43 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.4 0.42 90.0 left 1 90.2972679138 90.5981068611 90.8905858994 92.0120899677
44 0.3 0.3 1 0.3 0.0736806299728 4.0 0.6 0.42 22.0 right 1 92.0351359844 92.3359627724 92.6282567978 93.39879179
45 0.3 0.3 1 0.3 0.2 4.0 0.6 0.42 22.0 right 1 93.4221279621 93.7228069305 94.0152089596 94.8612558842
46 0.3 0.3 -1 0.3 0.04472135955 4.0 0.8 0.42 22.0 right 0 94.8842368126 95.1848378181 95.4773349762 96.4316248894
47 0.3 0.3 -1 0.3 0.04472135955 4.0 0.2 0.42 90.0 right 0 96.454928875 96.755614996 97.0480408669 98.1112267971
48 0.3 0.3 -1 0.3 0.04472135955 4.0 0.6 0.42 22.0 left 1 98.1341218948 98.434899807 98.727437973 99.5227949619
49 0.3 0.3 1 0.3 0.121392446201 4.0 0.2 0.42 90.0 left 0 99.5462038517 99.8467609882 100.139243841 101.009972811
50 0.3 0.3 1 0.3 0.0736806299728 4.0 0.2 0.42 22.0 right 1 101.033169985 101.334053993 101.626541853 102.355108976
51 0.3 0.3 1 0.3 0.2 4.0 0.8 0.42 22.0 right 1 102.378412962 102.679040909 102.971441984 103.800549984
52 0.3 0.3 -1 0.3 0.121392446201 4.0 0.0 0.42 22.0 left 1 103.823830843 104.124644995 104.416893959 105.153935909
53 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.6 0.42 22.0 left 1 105.177180767 105.478132963 105.770377874 106.883488894
54 0.3 0.3 1 0.3 0.04472135955 4.0 0.6 0.42 90.0 left 0 106.906701803 107.207446814 107.499763966 108.579741955
55 0.3 0.3 -1 0.3 0.2 4.0 0.8 0.42 90.0 left 1 108.60273695 108.903499842 109.195970774 110.108713865
56 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.0 0.42 90.0 left 1 110.131560802 110.432512999 110.724919796 111.662622929
57 0.3 0.3 1 0.3 0.0164754897244 4.0 0.4 0.42 22.0 right 1 111.685680866 111.986390829 112.278880835 113.015849829
58 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.4 0.42 90.0 right 0 113.039089918 113.339823961 113.632191896 114.536605835
59 0.3 0.3 -1 0.3 0.04472135955 4.0 0.0 0.42 22.0 right 0 114.559753895 114.860366821 115.152789831 115.965281963
60 0.3 0.3 -1 0.3 0.2 4.0 0.2 0.42 22.0 left 1 115.988305807 116.28925395 116.581689835 117.485737801
61 0.3 0.3 1 0.3 0.01 4.0 0.0 0.42 90.0 left 0 117.508970976 117.809788942 118.102122784 119.165210962
62 0.3 0.3 -1 0.3 0.04472135955 4.0 0.4 0.42 90.0 left 1 119.188296795 119.488912821 119.781457901 121.220254898
63 0.3 0.3 1 0.3 0.2 4.0 0.4 0.42 22.0 right 1 121.243620872 121.54427886 121.836620808 122.732528925
64 0.3 0.3 1 0.3 0.0164754897244 4.0 0.6 0.42 22.0 right 1 122.755757809 123.056407928 123.348877907 124.270367861
65 0.3 0.3 1 0.3 0.0164754897244 4.0 0.2 0.42 90.0 left 0 124.292961836 124.593770981 124.886329889 125.765343904
66 0.3 0.3 1 0.3 0.0736806299728 4.0 0.8 0.42 22.0 right 1 125.788599968 126.089239836 126.381603003 127.236054897
67 0.3 0.3 -1 0.3 0.01 4.0 0.2 0.42 90.0 right 0 127.258967876 127.559734821 127.852065802 128.706292868
68 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.6 0.42 22.0 left 1 128.729457855 129.030213833 129.322553873 130.201843977
69 0.3 0.3 1 0.3 0.0271441761659 4.0 0.8 0.42 22.0 left 0 130.224821806 130.52578783 130.81819582 131.831038952
70 0.3 0.3 -1 0.3 0.2 4.0 0.8 0.42 22.0 left 1 131.85419488 132.154782772 132.447337866 133.310050964
71 0.3 0.3 1 0.3 0.01 4.0 0.0 0.42 22.0 left 0 133.332835913 133.633813858 133.926158905 134.863783836
72 0.3 0.3 -1 0.3 0.01 4.0 0.0 0.42 22.0 left 1 134.88687396 135.187599897 135.480202913 136.584802866
73 0.3 0.3 -1 0.3 0.2 4.0 0.2 0.42 90.0 left 1 136.608099937 136.908703804 137.201268911 138.355983973
74 0.3 0.3 1 0.3 0.01 4.0 0.8 0.42 90.0 left 0 138.379182816 138.679966927 138.972395897 140.102520943
75 0.3 0.3 1 0.3 0.04472135955 4.0 0.6 0.42 22.0 right 1 140.125346899 140.426020861 140.718634844 141.748340845
76 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.2 0.42 90.0 left 1 141.771349907 142.072040796 142.364500999 143.811811924
77 0.3 0.3 1 0.3 0.01 4.0 0.2 0.42 90.0 left 0 143.834972858 144.135562897 144.428056002 145.415826797
78 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.0 0.42 22.0 right 0 145.438959837 145.7398808 146.03220892 146.786203861
79 0.3 0.3 1 0.3 0.121392446201 4.0 0.4 0.42 90.0 left 0 146.809294939 147.109990835 147.402366877 148.298589945
80 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.6 0.42 90.0 left 1 148.32138896 148.622187853 148.914684772 149.701865911
81 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.2 0.42 90.0 left 1 149.725062847 150.025889874 150.318114996 151.197707891
82 0.3 0.3 -1 0.3 0.121392446201 4.0 0.8 0.42 90.0 left 1 151.220443964 151.521421909 151.81384182 152.609268904
83 0.3 0.3 1 0.3 0.0736806299728 4.0 0.0 0.42 22.0 right 1 152.632604837 152.933209896 153.225605965 154.046610832
84 0.3 0.3 -1 0.3 0.121392446201 4.0 0.4 0.42 22.0 left 1 154.077997923 154.378630877 154.671032906 155.725997925
85 0.3 0.3 -1 0.3 0.01 4.0 0.8 0.42 22.0 right 0 155.74896884 156.049603939 156.342109919 157.513782978
86 0.3 0.3 -1 0.3 0.121392446201 4.0 0.4 0.42 90.0 left 1 157.536852837 157.837516785 158.130016804 158.958841801
87 0.3 0.3 -1 0.3 0.121392446201 4.0 0.2 0.42 22.0 left 1 158.982149839 159.28290987 159.57540679 160.396094799
88 0.3 0.3 -1 0.3 0.0736806299728 4.0 0.8 0.42 90.0 left 1 160.41918087 160.719814777 161.012319803 161.933615923
89 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.2 0.42 22.0 left 1 161.956484795 162.257270813 162.549758911 163.454160929
90 0.3 0.3 -1 0.3 0.0164754897244 4.0 0.8 0.42 90.0 left 1 163.476960897 163.777734995 164.070324898 164.932439804
91 0.3 0.3 -1 0.3 0.0271441761659 4.0 0.8 0.42 90.0 left 1 164.955910921 165.256522894 165.548980951 166.428303957
