Experiment   Time   Size   InitialPhase   Duration   Contrast   Direction   Frequency   Speed   FixationTime   Answer   Correct   
1   0.916666   4   0   0.01   0.42   -1   1   4   0.308333   left   1   
2   1.06667   1   72   0.01   0.42   1   1   4   0.308333   right   1   
3   1.05   4   288   0.027144   0.42   1   1   4   0.3   right   1   
4   0.833333   4   288   0.12139   0.42   -1   1   4   0.3   left   1   
5   0.8   4   72   0.12139   0.42   -1   1   4   0.3   left   1   
6   0.766667   1   144   0.027144   0.42   1   1   4   0.3   right   1   
7   0.9   4   0   0.01   0.42   1   1   4   0.308333   right   1   
8   0.8   1   72   0.07368   0.42   1   1   4   0.3   right   1   
9   0.75   4   0   0.2   0.42   -1   1   4   0.3   left   1   
10   0.75   4   216   0.01648   0.42   1   1   4   0.3   right   1   
11   0.733333   1   144   0.12139   0.42   -1   1   4   0.3   left   1   
12   0.716667   1   288   0.12139   0.42   -1   1   4   0.3   left   1   
13   0.75   4   288   0.01648   0.42   1   1   4   0.3   right   1   
14   1.23333   4   288   0.01648   0.42   -1   1   4   0.3   right   0   
15   0.733333   1   216   0.04472   0.42   -1   1   4   0.3   left   1   
16   0.7   1   144   0.04472   0.42   1   1   4   0.3   right   1   
17   0.75   1   288   0.01648   0.42   -1   1   4   0.3   left   1   
18   0.716667   4   72   0.027144   0.42   -1   1   4   0.3   right   0   
19   0.816667   4   144   0.2   0.42   1   1   4   0.3   right   1   
20   0.75   4   72   0.2   0.42   -1   1   4   0.3   left   1   
21   0.683333   1   288   0.07368   0.42   1   1   4   0.3   right   1   
22   0.65   1   72   0.12139   0.42   -1   1   4   0.3   left   1   
23   0.833333   4   216   0.12139   0.42   -1   1   4   0.3   left   1   
24   0.65   1   72   0.2   0.42   -1   1   4   0.3   left   1   
25   0.75   4   216   0.01   0.42   -1   1   4   0.308333   right   0   
26   0.766667   1   72   0.04472   0.42   1   1   4   0.3   right   1   
27   0.683333   1   144   0.07368   0.42   -1   1   4   0.3   left   1   
28   0.75   1   0   0.12139   0.42   -1   1   4   0.3   left   1   
29   0.7   1   288   0.027144   0.42   1   1   4   0.3   right   1   
30   0.716667   1   0   0.027144   0.42   1   1   4   0.3   left   0   
31   0.666667   1   288   0.027144   0.42   -1   1   4   0.3   right   0   
32   1.15   4   216   0.027144   0.42   1   1   4   0.3   right   1   
33   0.85   1   216   0.01   0.42   -1   1   4   0.308333   left   1   
34   0.85   4   0   0.01648   0.42   1   1   4   0.3   right   1   
35   0.7   4   72   0.04472   0.42   1   1   4   0.3   left   0   
36   0.883333   1   72   0.2   0.42   1   1   4   0.3   right   1   
37   0.783333   1   0   0.04472   0.42   -1   1   4   0.3   left   1   
38   0.85   4   144   0.04472   0.42   1   1   4   0.3   right   1   
39   0.766667   1   216   0.027144   0.42   -1   1   4   0.3   left   1   
40   0.85   1   72   0.01   0.42   -1   1   4   0.308333   left   1   
41   0.766667   4   72   0.07368   0.42   -1   1   4   0.3   left   1   
42   0.85   4   288   0.01   0.42   1   1   4   0.308333   right   1   
43   0.866666   1   144   0.01   0.42   1   1   4   0.308333   right   1   
44   0.816667   1   144   0.2   0.42   -1   1   4   0.3   left   1   
45   0.816667   1   0   0.04472   0.42   1   1   4   0.3   right   1   
46   0.766667   1   216   0.04472   0.42   1   1   4   0.3   right   1   
47   0.766667   1   216   0.027144   0.42   1   1   4   0.3   right   1   
48   1.9   4   216   0.07368   0.42   -1   1   4   0.3   right   0   
49   0.766667   1   216   0.12139   0.42   1   1   4   0.3   right   1   
