Experiment   Time   Size   InitialPhase   Duration   Contrast   Direction   Frequency   Speed   FixationTime   Answer   Correct   
1   0.816667   4   0   0.07368   0.42   -1   1   4   0.3   left   1   
2   0.716667   1   0   0.07368   0.42   -1   1   4   0.3   left   1   
3   0.766667   1   216   0.01648   0.42   1   1   4   0.3   left   0   
4   0.833333   4   288   0.027144   0.42   1   1   4   0.3   left   0   
5   0.883333   4   72   0.2   0.42   -1   1   4   0.3   left   1   
6   0.8   1   288   0.04472   0.42   1   1   4   0.3   right   1   
7   0.783333   1   72   0.12139   0.42   -1   1   4   0.3   left   1   
8   0.816667   1   72   0.04472   0.42   -1   1   4   0.3   left   1   
9   1.08333   4   216   0.027144   0.42   1   1   4   0.3   left   0   
10   1.06667   1   72   0.01648   0.42   -1   1   4   0.3   left   1   
11   0.833333   1   0   0.04472   0.42   1   1   4   0.3   right   1   
12   0.933333   1   216   0.07368   0.42   -1   1   4   0.3   left   1   
13   0.716667   1   288   0.12139   0.42   1   1   4   0.3   right   1   
14   1.06667   4   288   0.01   0.42   1   1   4   0.308333   left   0   
15   0.8   4   144   0.07368   0.42   -1   1   4   0.3   left   1   
16   0.783333   1   72   0.04472   0.42   1   1   4   0.3   right   1   
17   0.933333   4   72   0.01648   0.42   1   1   4   0.3   left   0   
18   1.0   4   0   0.2   0.42   -1   1   4   0.3   left   1   
19   0.933333   4   0   0.027144   0.42   -1   1   4   0.3   left   1   
20   1.11667   4   288   0.07368   0.42   1   1   4   0.3   left   0   
21   0.883333   1   216   0.027144   0.42   -1   1   4   0.3   right   0   
22   1.08333   4   288   0.12139   0.42   -1   1   4   0.3   left   1   
23   1.03333   4   144   0.07368   0.42   1   1   4   0.3   right   1   
24   1.1   4   216   0.12139   0.42   -1   1   4   0.3   left   1   
25   1.1   1   0   0.027144   0.42   1   1   4   0.3   right   1   
26   0.966666   1   144   0.01   0.42   -1   1   4   0.308333   right   0   
27   0.933333   1   216   0.04472   0.42   1   1   4   0.3   left   0   
28   0.966666   4   72   0.12139   0.42   -1   1   4   0.3   left   1   
29   1.36667   1   144   0.01   0.42   1   1   4   0.308333   left   0   
30   1.2   4   288   0.04472   0.42   1   1   4   0.3   left   0   
31   1.18333   4   0   0.04472   0.42   1   1   4   0.3   left   0   
32   0.933333   1   0   0.2   0.42   1   1   4   0.3   right   1   
33   1.21667   4   216   0.027144   0.42   -1   1   4   0.3   right   0   
34   1.01667   4   288   0.01648   0.42   -1   1   4   0.3   left   1   
35   0.866666   1   216   0.01   0.42   -1   1   4   0.308333   left   1   
36   1.1   4   144   0.027144   0.42   1   1   4   0.3   left   0   
37   1.05   1   216   0.2   0.42   -1   1   4   0.3   left   1   
38   0.933333   1   72   0.07368   0.42   -1   1   4   0.3   left   1   
39   0.95   1   288   0.027144   0.42   -1   1   4   0.3   left   1   
40   0.833333   1   144   0.07368   0.42   -1   1   4   0.3   left   1   
41   1.01667   4   144   0.01   0.42   1   1   4   0.308333   left   0   
42   0.933333   4   144   0.01648   0.42   1   1   4   0.3   left   0   
43   1.01667   4   144   0.04472   0.42   1   1   4   0.3   left   0   
44   0.8   1   72   0.2   0.42   1   1   4   0.3   right   1   
45   1.16667   4   0   0.01648   0.42   -1   1   4   0.3   left   1   
46   1.1   1   0   0.01   0.42   1   1   4   0.308333   left   0   
47   0.866666   4   72   0.01   0.42   1   1   4   0.308333   left   0   
48   0.883333   1   216   0.027144   0.42   1   1   4   0.3   left   0   
49   0.9   4   144   0.12139   0.42   1   1   4   0.3   right   1   
50   1.08333   4   216   0.12139   0.42   1   1   4   0.3   right   1   
51   0.933333   1   72   0.027144   0.42   1   1   4   0.3   right   1   
52   1.0   4   216   0.01648   0.42   -1   1   4   0.3   left   1   
53   0.833333   1   144   0.07368   0.42   1   1   4   0.3   right   1   
54   0.916666   1   288   0.01   0.42   1   1   4   0.308333   right   1   
55   0.933333   4   0   0.12139   0.42   -1   1   4   0.3   left   1   
56   1.45   4   0   0.04472   0.42   -1   1   4   0.3   left   1   
