Experiment   Time   Size   InitialPhase   Duration   Contrast   Direction   Frequency   Speed   FixationTime   Answer   Correct   
1   0.8   4   288   0.2   0.42   -1   1   4   0.3   left   1   
2   0.683333   4   144   0.2   0.42   1   1   4   0.3   right   1   
3   0.85   4   288   0.2   0.42   1   1   4   0.3   right   1   
4   0.916666   1   216   0.12139   0.42   1   1   4   0.3   right   1   
5   0.766667   4   288   0.12139   0.42   1   1   4   0.3   right   1   
6   0.733333   4   72   0.2   0.42   1   1   4   0.3   right   1   
7   0.95   4   72   0.07368   0.42   1   1   4   0.3   right   1   
8   0.9   4   0   0.027144   0.42   -1   1   4   0.3   right   0   
9   0.75   1   0   0.04472   0.42   -1   1   4   0.3   left   1   
10   0.85   4   144   0.01648   0.42   -1   1   4   0.3   left   1   
11   0.766667   4   0   0.07368   0.42   1   1   4   0.3   right   1   
12   1.05   1   72   0.01   0.42   1   1   4   0.308333   left   0   
13   0.816667   4   0   0.04472   0.42   1   1   4   0.3   right   1   
14   0.8   4   216   0.2   0.42   1   1   4   0.3   right   1   
15   1.05   4   144   0.01   0.42   -1   1   4   0.308333   left   1   
16   0.816667   1   72   0.04472   0.42   1   1   4   0.3   right   1   
17   0.9   4   72   0.07368   0.42   -1   1   4   0.3   left   1   
18   0.816667   4   144   0.2   0.42   -1   1   4   0.3   left   1   
19   1.06667   4   216   0.01648   0.42   1   1   4   0.3   left   0   
20   0.95   4   0   0.027144   0.42   1   1   4   0.3   left   0   
21   0.966666   4   0   0.01   0.42   1   1   4   0.308333   left   0   
22   0.85   1   0   0.01648   0.42   -1   1   4   0.3   left   1   
23   1.33333   4   144   0.027144   0.42   1   1   4   0.3   left   0   
24   0.983333   1   144   0.12139   0.42   -1   1   4   0.3   left   1   
25   1.0   4   144   0.01648   0.42   1   1   4   0.3   left   0   
26   0.983333   1   144   0.07368   0.42   1   1   4   0.3   right   1   
27   2.0   4   72   0.01648   0.42   -1   1   4   0.3   right   0   
28   0.833333   1   72   0.027144   0.42   -1   1   4   0.3   left   1   
29   0.95   4   288   0.07368   0.42   -1   1   4   0.3   left   1   
30   1.05   4   0   0.01648   0.42   -1   1   4   0.3   left   1   
31   0.85   1   216   0.07368   0.42   1   1   4   0.3   right   1   
32   0.983333   1   72   0.2   0.42   1   1   4   0.3   right   1   
33   0.933333   1   144   0.04472   0.42   -1   1   4   0.3   left   1   
34   0.8   1   0   0.07368   0.42   -1   1   4   0.3   left   1   
35   0.666667   1   288   0.07368   0.42   -1   1   4   0.3   left   1   
36   0.75   1   216   0.04472   0.42   1   1   4   0.3   right   1   
37   0.983333   1   0   0.2   0.42   -1   1   4   0.3   left   1   
38   1.48333   4   144   0.01   0.42   1   1   4   0.308333   left   0   
39   0.883333   4   288   0.04472   0.42   1   1   4   0.3   right   1   
40   0.95   4   0   0.01648   0.42   1   1   4   0.3   left   0   
41   0.933333   1   288   0.01   0.42   1   1   4   0.308333   right   1   
42   0.816667   4   216   0.12139   0.42   -1   1   4   0.3   left   1   
43   0.766667   4   0   0.2   0.42   -1   1   4   0.3   left   1   
44   0.783333   4   0   0.2   0.42   1   1   4   0.3   right   1   
45   0.75   4   72   0.12139   0.42   1   1   4   0.3   right   1   
46   0.8   1   0   0.12139   0.42   1   1   4   0.3   right   1   
47   0.75   4   72   0.04472   0.42   -1   1   4   0.3   left   1   
48   0.95   4   72   0.01648   0.42   1   1   4   0.3   left   0   
49   0.75   1   288   0.07368   0.42   1   1   4   0.3   right   1   
50   1.38333   4   216   0.04472   0.42   1   1   4   0.3   right   1   
51   0.933333   4   0   0.12139   0.42   1   1   4   0.3   right   1   
52   1.0   1   0   0.01   0.42   1   1   4   0.308333   right   1   
53   0.866666   4   72   0.12139   0.42   -1   1   4   0.3   left   1   
54   1.13333   1   288   0.2   0.42   -1   1   4   0.3   left   1   
55   0.85   1   0   0.2   0.42   1   1   4   0.3   right   1   
56   1.01667   1   216   0.01648   0.42   -1   1   4   0.3   left   1   
57   0.8   4   216   0.07368   0.42   1   1   4   0.3   right   1   
58   0.883333   4   144   0.07368   0.42   -1   1   4   0.3   left   1   
59   0.916666   1   72   0.01648   0.42   -1   1   4   0.3   left   1   
60   1.48333   1   72   0.01   0.42   -1   1   4   0.308333   left   1   
61   1.25   4   288   0.027144   0.42   -1   1   4   0.3   left   1   
62   0.9   4   144   0.12139   0.42   1   1   4   0.3   right   1   
63   0.983333   4   288   0.12139   0.42   -1   1   4   0.3   left   1   
64   0.866666   4   72   0.027144   0.42   -1   1   4   0.3   left   1   
65   0.95   1   144   0.01648   0.42   -1   1   4   0.3   left   1   
66   0.866666   1   72   0.07368   0.42   1   1   4   0.3   right   1   
67   0.9   4   288   0.07368   0.42   1   1   4   0.3   right   1   
68   0.966666   4   288   0.027144   0.42   1   1   4   0.3   left   0   
69   1.41667   4   144   0.04472   0.42   1   1   4   0.3   left   0   
70   1.01667   4   0   0.07368   0.42   -1   1   4   0.3   left   1   
71   0.85   4   216   0.07368   0.42   -1   1   4   0.3   left   1   
72   0.916666   1   0   0.027144   0.42   -1   1   4   0.3   left   1   
73   0.9   1   0   0.027144   0.42   1   1   4   0.3   right   1   
74   0.833333   4   72   0.04472   0.42   1   1   4   0.3   left   0   
75   1.46667   4   288   0.01   0.42   -1   1   4   0.308333   left   1   
76   0.866666   4   216   0.2   0.42   -1   1   4   0.3   left   1   
77   1.25   4   144   0.027144   0.42   -1   1   4   0.3   left   1   
78   0.8   1   0   0.12139   0.42   -1   1   4   0.3   left   1   
79   0.8   1   288   0.04472   0.42   -1   1   4   0.3   left   1   
80   0.833333   4   0   0.12139   0.42   -1   1   4   0.3   left   1   
81   1.13333   4   288   0.01648   0.42   -1   1   4   0.3   left   1   
82   0.933333   1   144   0.01   0.42   -1   1   4   0.308333   left   1   
83   0.983333   4   216   0.01   0.42   1   1   4   0.308333   left   0   
84   0.966666   1   288   0.2   0.42   1   1   4   0.3   right   1   
85   0.8   1   216   0.2   0.42   1   1   4   0.3   right   1   
86   0.933333   1   216   0.12139   0.42   -1   1   4   0.3   left   1   
87   1.28333   4   288   0.01648   0.42   1   1   4   0.3   left   0   
88   1.0   4   216   0.01648   0.42   -1   1   4   0.3   left   1   
89   0.916666   4   216   0.04472   0.42   -1   1   4   0.3   left   1   
90   1.11667   1   144   0.027144   0.42   -1   1   4   0.3   left   1   
91   0.783333   1   0   0.07368   0.42   1   1   4   0.3   right   1   
