Experiment   Time   Size   InitialPhase   Duration   Contrast   Direction   Frequency   Speed   FixationTime   Answer   Correct   
1   1.06667   4   216   0.2   0.42   1   1   4   0.3   left   0   
2   0.833333   4   0   0.01   0.42   1   1   4   0.308333   left   0   
3   1.13333   4   0   0.01648   0.42   -1   1   4   0.3   left   1   
4   0.85   1   72   0.01   0.42   1   1   4   0.308333   left   0   
5   1.0   4   288   0.027144   0.42   1   1   4   0.3   left   0   
6   1.13333   4   0   0.07368   0.42   -1   1   4   0.3   left   1   
7   0.95   4   216   0.027144   0.42   1   1   4   0.3   left   0   
8   0.9   4   288   0.07368   0.42   -1   1   4   0.3   left   1   
9   0.783333   4   288   0.12139   0.42   -1   1   4   0.3   left   1   
10   0.833333   1   0   0.01648   0.42   1   1   4   0.3   left   0   
11   0.75   1   144   0.07368   0.42   -1   1   4   0.3   left   1   
12   0.766667   1   288   0.027144   0.42   1   1   4   0.3   left   0   
13   1.05   1   0   0.01   0.42   1   1   4   0.308333   left   0   
14   0.933333   1   72   0.07368   0.42   1   1   4   0.3   right   1   
15   0.933333   4   72   0.2   0.42   -1   1   4   0.3   left   1   
16   0.7   1   288   0.2   0.42   -1   1   4   0.3   left   1   
17   0.733333   1   216   0.2   0.42   -1   1   4   0.3   left   1   
18   0.666667   1   0   0.12139   0.42   1   1   4   0.3   right   1   
19   0.933333   1   288   0.01   0.42   1   1   4   0.308333   right   1   
20   0.8   4   144   0.04472   0.42   1   1   4   0.3   left   0   
21   0.85   4   144   0.01   0.42   1   1   4   0.308333   left   0   
22   0.85   4   72   0.01648   0.42   1   1   4   0.3   right   1   
23   0.683333   4   72   0.12139   0.42   1   1   4   0.3   left   0   
24   0.816667   1   144   0.04472   0.42   1   1   4   0.3   right   1   
25   0.983333   1   144   0.2   0.42   1   1   4   0.3   right   1   
26   0.883333   4   216   0.027144   0.42   -1   1   4   0.3   left   1   
27   0.783333   4   288   0.01648   0.42   1   1   4   0.3   left   0   
28   1.7   1   0   0.027144   0.42   1   1   4   0.3   right   1   
29   0.783333   1   144   0.07368   0.42   1   1   4   0.3   right   1   
30   0.733333   1   72   0.04472   0.42   1   1   4   0.3   right   1   
31   0.933333   1   72   0.01648   0.42   1   1   4   0.3   right   1   
32   0.766667   1   288   0.01648   0.42   1   1   4   0.3   left   0   
33   1.33333   4   144   0.01648   0.42   1   1   4   0.3   right   1   
34   0.633333   1   216   0.2   0.42   1   1   4   0.3   right   1   
35   0.666667   1   144   0.2   0.42   -1   1   4   0.3   left   1   
36   0.816667   4   216   0.01   0.42   -1   1   4   0.308333   left   1   
37   0.783333   4   288   0.01   0.42   1   1   4   0.308333   left   0   
38   0.833333   1   144   0.01   0.42   -1   1   4   0.308333   left   1   
39   0.75   4   0   0.07368   0.42   1   1   4   0.3   left   0   
40   0.866666   1   72   0.01648   0.42   -1   1   4   0.3   right   0   
41   0.783333   1   144   0.027144   0.42   1   1   4   0.3   left   0   
42   0.683333   1   72   0.07368   0.42   -1   1   4   0.3   left   1   
43   0.583333   1   0   0.2   0.42   -1   1   4   0.3   left   1   
44   0.766667   4   288   0.12139   0.42   1   1   4   0.3   left   0   
45   0.65   4   72   0.027144   0.42   1   1   4   0.3   left   0   
46   0.683333   1   0   0.04472   0.42   1   1   4   0.3   left   0   
47   0.566667   4   144   0.12139   0.42   -1   1   4   0.3   left   1   
48   0.666667   1   72   0.04472   0.42   -1   1   4   0.3   left   1   
49   0.616667   4   72   0.04472   0.42   1   1   4   0.3   left   0   
50   0.516667   4   72   0.12139   0.42   -1   1   4   0.3   left   1   
51   0.583333   4   216   0.01   0.42   1   1   4   0.308333   left   0   
52   0.7   4   0   0.01   0.42   -1   1   4   0.308333   left   1   
53   0.766667   1   288   0.01   0.42   -1   1   4   0.308333   left   1   
54   1.1   1   0   0.01   0.42   -1   1   4   0.308333   left   1   
55   0.8   4   144   0.01   0.42   -1   1   4   0.308333   left   1   
