Experiment   Time   Size   InitialPhase   Duration   Contrast   Direction   Frequency   Speed   FixationTime   Answer   Correct   
1   1.31667   4   0   0.12139   0.42   1   1   4   0.3   right   1   
2   1.11667   4   72   0.2   0.42   1   1   4   0.3   right   1   
3   0.983333   4   144   0.01648   0.42   -1   1   4   0.3   right   0   
4   0.933333   4   72   0.2   0.42   -1   1   4   0.3   left   1   
5   1.23333   4   0   0.07368   0.42   -1   1   4   0.3   right   0   
6   0.833333   4   144   0.01648   0.42   1   1   4   0.3   left   0   
7   0.916666   1   216   0.07368   0.42   -1   1   4   0.3   left   1   
8   0.816667   4   0   0.07368   0.42   1   1   4   0.3   right   1   
9   0.866666   4   0   0.027144   0.42   1   1   4   0.3   left   0   
10   0.933333   4   216   0.07368   0.42   1   1   4   0.3   right   1   
11   2.86666   4   144   0.027144   0.42   1   1   4   0.3   left   0   
12   0.816667   4   144   0.12139   0.42   -1   1   4   0.3   left   1   
13   1.06667   1   216   0.01648   0.42   1   1   4   0.3   right   1   
14   0.95   1   0   0.2   0.42   1   1   4   0.3   right   1   
15   2.11667   4   144   0.04472   0.42   1   1   4   0.3   left   0   
16   1.01667   1   144   0.027144   0.42   1   1   4   0.3   right   1   
17   0.933333   1   144   0.01648   0.42   -1   1   4   0.3   left   1   
18   1.11667   1   288   0.01648   0.42   1   1   4   0.3   left   0   
19   0.783333   1   0   0.07368   0.42   1   1   4   0.3   right   1   
20   1.0   1   72   0.07368   0.42   -1   1   4   0.3   left   1   
21   1.03333   1   216   0.2   0.42   -1   1   4   0.3   left   1   
22   1.1   4   288   0.01648   0.42   -1   1   4   0.3   right   0   
23   1.31667   1   216   0.01   0.42   -1   1   4   0.308333   right   0   
24   0.9   4   72   0.027144   0.42   1   1   4   0.3   left   0   
25   1.2   1   144   0.01648   0.42   1   1   4   0.3   left   0   
26   1.11667   1   216   0.027144   0.42   1   1   4   0.3   right   1   
27   0.783333   4   144   0.2   0.42   1   1   4   0.3   right   1   
28   1.21667   4   216   0.04472   0.42   1   1   4   0.3   left   0   
29   0.95   4   288   0.04472   0.42   1   1   4   0.3   right   1   
30   1.33333   4   144   0.027144   0.42   -1   1   4   0.3   left   1   
31   1.0   4   72   0.01   0.42   1   1   4   0.308333   left   0   
32   1.05   4   216   0.01648   0.42   1   1   4   0.3   right   1   
33   1.05   4   216   0.2   0.42   -1   1   4   0.3   left   1   
34   1.06667   1   216   0.01648   0.42   -1   1   4   0.3   right   0   
35   1.1   4   216   0.12139   0.42   -1   1   4   0.3   left   1   
36   1.01667   4   0   0.01   0.42   1   1   4   0.308333   right   1   
37   1.93333   4   288   0.04472   0.42   -1   1   4   0.3   right   0   
38   0.666667   4   72   0.12139   0.42   -1   1   4   0.3   left   1   
39   0.816667   4   144   0.2   0.42   -1   1   4   0.3   left   1   
40   1.08333   1   0   0.01648   0.42   -1   1   4   0.3   left   1   
41   1.06667   4   288   0.2   0.42   -1   1   4   0.3   left   1   
42   1.91667   4   216   0.01   0.42   -1   1   4   0.308333   right   0   
43   1.6   1   288   0.027144   0.42   1   1   4   0.3   right   1   
44   1.05   4   216   0.07368   0.42   -1   1   4   0.3   left   1   
45   0.966666   1   144   0.07368   0.42   -1   1   4   0.3   left   1   
46   1.41667   4   144   0.01   0.42   -1   1   4   0.308333   left   1   
47   1.06667   4   0   0.01648   0.42   1   1   4   0.3   left   0   
48   0.7   1   288   0.12139   0.42   1   1   4   0.3   right   1   
49   0.866666   1   216   0.04472   0.42   1   1   4   0.3   right   1   
50   1.01667   4   0   0.01   0.42   -1   1   4   0.308333   left   1   
51   1.06667   4   216   0.04472   0.42   -1   1   4   0.3   right   0   
52   0.916666   1   144   0.12139   0.42   1   1   4   0.3   right   1   
53   0.95   1   288   0.027144   0.42   -1   1   4   0.3   left   1   
54   0.95   1   72   0.12139   0.42   -1   1   4   0.3   left   1   
55   0.666667   1   288   0.2   0.42   -1   1   4   0.3   left   1   
56   0.683333   1   216   0.12139   0.42   -1   1   4   0.3   left   1   
57   1.58333   1   0   0.01   0.42   -1   1   4   0.308333   left   1   
58   0.966666   4   288   0.2   0.42   1   1   4   0.3   right   1   
59   1.06667   1   72   0.12139   0.42   1   1   4   0.3   right   1   
60   1.01667   4   72   0.027144   0.42   -1   1   4   0.3   right   0   
61   0.816667   4   72   0.04472   0.42   1   1   4   0.3   left   0   
62   0.933333   4   144   0.01   0.42   1   1   4   0.308333   right   1   
63   0.8   1   72   0.027144   0.42   -1   1   4   0.3   left   1   
64   1.08333   1   288   0.01   0.42   -1   1   4   0.308333   right   0   
65   1.16667   4   72   0.01   0.42   -1   1   4   0.308333   right   0   
66   1.01667   1   216   0.07368   0.42   1   1   4   0.3   right   1   
67   0.95   1   144   0.04472   0.42   1   1   4   0.3   right   1   
68   0.783333   4   0   0.2   0.42   -1   1   4   0.3   left   1   
69   1.23333   1   144   0.01   0.42   -1   1   4   0.308333   right   0   
70   0.866666   1   216   0.2   0.42   1   1   4   0.3   right   1   
71   0.983333   4   216   0.027144   0.42   -1   1   4   0.3   right   0   
72   0.816667   4   72   0.01648   0.42   1   1   4   0.3   left   0   
73   0.9   1   0   0.027144   0.42   -1   1   4   0.3   right   0   
74   0.966666   1   72   0.04472   0.42   1   1   4   0.3   right   1   
75   0.766667   1   0   0.04472   0.42   -1   1   4   0.3   left   1   
76   0.733333   4   216   0.01648   0.42   -1   1   4   0.3   right   0   
77   0.716667   1   288   0.04472   0.42   -1   1   4   0.3   left   1   
78   0.983333   4   288   0.12139   0.42   1   1   4   0.3   right   1   
79   1.36667   4   144   0.07368   0.42   1   1   4   0.3   right   1   
80   0.85   4   216   0.12139   0.42   1   1   4   0.3   right   1   
81   0.983333   4   216   0.01   0.42   1   1   4   0.308333   right   1   
82   0.683333   1   144   0.12139   0.42   -1   1   4   0.3   left   1   
83   0.766667   4   288   0.12139   0.42   -1   1   4   0.3   left   1   
84   0.8   4   0   0.12139   0.42   -1   1   4   0.3   left   1   
85   0.95   1   216   0.04472   0.42   -1   1   4   0.3   left   1   
86   0.816667   4   0   0.2   0.42   1   1   4   0.3   right   1   
87   0.85   1   144   0.07368   0.42   1   1   4   0.3   right   1   
88   0.833333   4   288   0.01   0.42   -1   1   4   0.308333   right   0   
89   1.03333   4   0   0.04472   0.42   -1   1   4   0.3   left   1   
90   1.68333   4   144   0.07368   0.42   -1   1   4   0.3   left   1   
91   0.783333   4   72   0.12139   0.42   1   1   4   0.3   right   1   
92   1.91667   4   288   0.027144   0.42   -1   1   4   0.3   left   1   
93   2.31667   4   288   0.01   0.42   1   1   4   0.308333   right   1   
94   0.766667   1   288   0.07368   0.42   1   1   4   0.3   right   1   
95   0.8   1   144   0.04472   0.42   -1   1   4   0.3   left   1   
96   0.95   1   288   0.12139   0.42   -1   1   4   0.3   left   1   
97   0.733333   1   144   0.2   0.42   -1   1   4   0.3   left   1   
98   0.9   4   288   0.07368   0.42   -1   1   4   0.3   left   1   
99   0.916666   4   72   0.07368   0.42   -1   1   4   0.3   left   1   
100   1.01667   1   0   0.01648   0.42   1   1   4   0.3   left   0   
101   1.15   4   288   0.01648   0.42   1   1   4   0.3   left   0   
102   0.966666   1   0   0.07368   0.42   -1   1   4   0.3   left   1   
103   0.866666   1   216   0.027144   0.42   -1   1   4   0.3   left   1   
104   0.8   1   288   0.04472   0.42   1   1   4   0.3   right   1   
105   1.2   4   72   0.04472   0.42   -1   1   4   0.3   right   0   
106   0.866666   4   144   0.12139   0.42   1   1   4   0.3   right   1   
107   1.0   1   288   0.01648   0.42   -1   1   4   0.3   right   0   
108   1.0   1   72   0.01   0.42   1   1   4   0.308333   right   1   
109   0.833333   4   288   0.07368   0.42   1   1   4   0.3   right   1   
110   1.1   1   288   0.2   0.42   1   1   4   0.3   right   1   
111   0.833333   4   288   0.027144   0.42   1   1   4   0.3   left   0   
112   1.56667   1   72   0.01648   0.42   -1   1   4   0.3   right   0   
113   0.85   4   216   0.2   0.42   1   1   4   0.3   right   1   
114   1.0   4   0   0.04472   0.42   1   1   4   0.3   left   0   
115   0.783333   1   0   0.2   0.42   -1   1   4   0.3   left   1   
