Experiment   Time   Size   InitialPhase   Duration   Contrast   Direction   Frequency   Speed   FixationTime   Answer   Correct   
1   0.966666   1   288   0.01648   0.42   -1   1   4   0.3   right   0   
2   1.35   4   144   0.027144   0.42   1   1   4   0.3   left   0   
3   1.55   4   144   0.04472   0.42   -1   1   4   0.3   right   0   
4   0.883333   4   144   0.07368   0.42   -1   1   4   0.3   left   1   
5   0.983333   4   216   0.07368   0.42   -1   1   4   0.3   left   1   
6   1.61667   4   72   0.027144   0.42   -1   1   4   0.3   left   1   
7   0.983333   4   288   0.027144   0.42   -1   1   4   0.3   right   0   
8   1.03333   4   0   0.07368   0.42   1   1   4   0.3   right   1   
9   1.31667   1   144   0.01648   0.42   -1   1   4   0.3   left   1   
10   0.966666   4   72   0.04472   0.42   1   1   4   0.3   right   1   
11   1.18333   4   72   0.01   0.42   -1   1   4   0.308333   left   1   
12   1.08333   1   216   0.01648   0.42   -1   1   4   0.3   left   1   
13   0.866666   4   216   0.2   0.42   1   1   4   0.3   right   1   
14   0.966666   1   216   0.027144   0.42   -1   1   4   0.3   left   1   
15   0.95   4   288   0.01   0.42   -1   1   4   0.308333   right   0   
16   1.01667   4   288   0.01648   0.42   1   1   4   0.3   left   0   
17   1.51667   4   288   0.01   0.42   1   1   4   0.308333   right   1   
18   0.85   1   216   0.07368   0.42   -1   1   4   0.3   left   1   
19   1.1   4   144   0.2   0.42   -1   1   4   0.3   left   1   
20   0.983333   4   72   0.04472   0.42   -1   1   4   0.3   right   0   
21   1.05   1   72   0.04472   0.42   1   1   4   0.3   right   1   
22   1.76667   4   216   0.01648   0.42   1   1   4   0.3   left   0   
23   1.1   4   0   0.01648   0.42   -1   1   4   0.3   right   0   
24   0.933333   1   144   0.01   0.42   -1   1   4   0.308333   left   1   
25   1.06667   4   72   0.2   0.42   -1   1   4   0.3   left   1   
26   2.7   4   72   0.12139   0.42   -1   1   4   0.3   left   1   
27   0.966666   1   0   0.07368   0.42   -1   1   4   0.3   left   1   
28   0.95   4   216   0.01   0.42   1   1   4   0.308333   right   1   
29   0.9   4   72   0.07368   0.42   -1   1   4   0.3   left   1   
30   0.966666   1   72   0.07368   0.42   1   1   4   0.3   right   1   
31   2.05   1   216   0.01648   0.42   1   1   4   0.3   right   1   
32   0.95   4   144   0.04472   0.42   1   1   4   0.3   left   0   
33   1.05   1   72   0.07368   0.42   -1   1   4   0.3   left   1   
34   0.8   1   144   0.04472   0.42   1   1   4   0.3   right   1   
